"","Player","Team","Season","Minutes","Shots Faced","Goals Conceded","Saves","Header %","xG","G-xG","G/xG"
"","Stefan Cleveland","SEA","2021","1494","47","17","29","10.6%","16.48","0.52","1.03"
"","Sean Johnson","NYC","2018","3123","141","40","100","17.0%","39.46","0.54","1.01"
"","Milos Kocic","POR","2013","195","10","2","7","10.0%","1.46","0.54","1.37"
"","Clément Diop","ATL","2023","157","7","4","3","0.0%","3.43","0.57","1.17"
"","Eloy Room","CLB","2023","304","10","3","7","20.0%","2.43","0.57","1.24"
"","Andrew Dykstra","DCU","2016","101","7","4","3","57.1%","3.41","0.59","1.17"
"","Tyler Miller","MIN","2020","499","19","6","13","5.3%","5.40","0.60","1.11"
"","Sean Johnson","NYC","2019","2892","116","35","78","10.3%","34.40","0.60","1.02"
"","Steve Clark","DCU, POR","2018","936","61","17","44","16.4%","16.39","0.61","1.04"
"","Nick Marsman","MIA","2021","2111","101","31","68","19.8%","30.38","0.62","1.02"
"","Luis López","LAFC","2018","97","5","2","3","20.0%","1.37","0.63","1.46"
"","Eldin Jakupovic","LAFC","2023","201","7","1","6","0.0%","0.36","0.64","2.79"
"","Jonathan Klinsmann","LAG","2021","293","11","4","7","27.3%","3.36","0.64","1.19"
"","Raúl Gudiño","ATL","2022","555","17","7","7","17.6%","6.35","0.65","1.10"
"","Chris Seitz","FCD","2014","1302","65","18","42","15.4%","17.35","0.65","1.04"
"","Jeff Attinella","RSL","2013","447","24","9","14","41.7%","8.33","0.67","1.08"
"","Stefan Marinovic","VAN","2017","493","27","5","21","18.5%","4.32","0.68","1.16"
"","Zac MacMath","COL","2017","872","40","12","27","17.5%","11.30","0.70","1.06"
"","Sean Johnson","NYC","2017","3104","137","39","96","14.6%","38.29","0.71","1.02"
"","JT Marcinkowski","SJE","2020","1069","39","13","25","15.4%","12.29","0.71","1.06"
"","Spencer Richey","VAN","2017","95","3","2","1","33.3%","1.27","0.73","1.58"
"","Andrew Dykstra","SKC","2017","333","14","4","10","14.3%","3.26","0.74","1.23"
"","Steve Clark","POR","2020","1978","94","29","64","14.9%","28.26","0.74","1.03"
"","David Ochoa","RSL","2020","95","6","2","4","16.7%","1.25","0.75","1.60"
