Player_ID,Team,Player_NAME,SEASON,Position,Minutes,Shots,SoT,G
272,ATL,Juan José Purata,2022,CB,1604,14,8,6
614,POR,Juan Mosquera,2022,FB,218,2,1,0
564,SJE,Judson,2022,DM,718,5,0,0
158,LAG,Julian Araujo,2022,FB,3021,14,2,0
14,PHI,Julián Carranza,2022,ST,2379,90,36,14
92,VAN,Julian Gressel,2022,FB,2557,33,11,2
162,ATX,Julio Cascante,2022,CB,3011,29,9,3
285,CIN,Júnior Moreno,2022,CM,2212,15,3,2
106,ORL,Júnior Urso,2022,DM,2817,50,21,5
244,RSL,Justen Glad,2022,CB,2525,18,8,3
521,NYC,Justin Haak,2022,DM,866,1,1,0
68,RSL,Justin Meram,2022,W,2451,38,11,3
541,POR,Justin Rasmussen,2022,FB,714,4,1,0
343,NER,Justin Rennicks,2022,ST,834,12,5,2
86,CHI,Kacper Przybylko,2022,ST,1742,46,15,5
577,TOR,Kadin Chung,2022,FB,495,1,0,0
100,PHI,Kai Wagner,2022,FB,3278,14,2,0
645,FCD,Kalil ElMedkhar,2022,W,116,2,0,0
178,MTL,Kamal Miller,2022,CB,2536,24,8,2
156,CLT,Kamil Jozwiak,2022,W,1264,18,4,0
37,CLT,Karol Swiderski,2022,ST,2656,72,36,10
563,SKC,Kayden Pierre,2022,FB,1072,1,0,0
249,NYC,Keaton Parks,2022,DM,1187,21,11,2
251,COL,Keegan Rosenberry,2022,FB,3280,20,5,2
73,MTL,Kei Kamara,2022,ST,1751,45,17,9
121,LAFC,Kellyn Acosta,2022,CM,2824,32,9,2
603,LAG,Kelvin Leerdam,2022,FB,549,1,1,0
420,SEA,Kelyn Rowe,2022,FB,1438,13,3,1
424,MIN,Kemar Lawrence,2022,FB,2506,8,3,1
590,CHI,Kendall Burks,2022,CB,206,2,0,0
381,MIN,Kervin Arriaga,2022,DM,2056,21,3,1
335,CLT,Kerwin Calderón Vargas,2022,W,682,17,8,0
88,LAG,Kevin Cabral,2022,W,1832,35,11,1
519,CLB,Kevin Molino,2022,W,507,5,2,1
612,NYC,Kevin O'Toole,2022,W,302,2,1,0
229,SKC,Khiry Shelton,2022,ST,1544,18,6,1
473,MIA,Kieran Gibbs,2022,FB,695,5,4,0
696,LAFC,Kim Moon-Hwan,2022,FB,83,0,0,0
449,DCU,Kimarni Smith,2022,FB,440,8,3,1
611,ATX,Kipp Keller,2022,CB,359,0,0,0
684,CLT,Koa Santos,2022,W,62,0,0,0
693,TOR,Kobe Franklin,2022,CB,17,0,0,0
565,SKC,Kortne Ford,2022,CB,906,2,0,0
292,TOR,Kosi Thompson,2022,FB,1837,11,5,1
641,DCU,Kristian Fletcher,2022,W,71,1,1,1
49,LAFC,Kwadwo Opoku,2022,W,1946,58,25,7
650,NYC,Kwaku Owusu,2022,CB,13,1,0,0
500,NYRB,Kyle Duncan,2022,FB,660,4,0,0
448,ORL,Kyle Smith,2022,FB,1592,8,5,2
230,COL,Lalas Abubakar,2022,CB,2781,22,5,4
550,POR,Larrys Mabiala,2022,CB,1731,5,1,0
105,MTL,Lassi Lappalainen,2022,FB,2097,28,11,3
184,LAFC,Latif Blessing,2022,CM,1503,16,4,0
261,SEA,Leo Chú,2022,W,927,18,1,0
282,PHI,Leon Flach,2022,CM,3012,11,4,0
559,VAN,Leonard Owusu,2022,CM,961,3,1,0
58,MIA,Leonardo Campana,2022,ST,1732,54,25,11
21,NYRB,Lewis Morgan,2022,W,2915,85,32,14
469,SKC,Logan Ndenbe,2022,FB,1931,7,1,0
114,TOR,Lorenzo Insigne,2022,W,1018,49,20,6
277,TOR,Luca Petrasso,2022,FB,1893,9,3,0
67,VAN,Lucas Cavallini,2022,ST,1666,53,20,9
197,COL,Lucas Esteves,2022,FB,2503,28,7,1
33,CLB,Lucas Zelarayán,2022,AM,2550,85,33,10
3,CIN,Luciano Acosta,2022,AM,2708,62,22,10
31,MIN,Luis Amarilla,2022,ST,2536,76,26,9
147,CLB,Luis Díaz,2022,W,1668,18,7,3
467,VAN,Luis Martins,2022,FB,524,5,1,0
28,ATL,Luiz Araújo,2022,W,2382,98,33,4
464,TOR,Lukas MacNaughton,2022,CB,1975,6,1,0
274,NSH,Luke Haakenson,2022,CM,718,10,3,0
124,NYRB,Luquinhas,2022,AM,2140,34,11,5
605,ATL,Machop Chol,2022,FB,105,1,0,0
498,NER,Maciel,2022,DM,760,2,0,0
107,RSL,Maikel Chang,2022,W,1988,27,9,2
227,NYC,Malte Amundsen,2022,FB,2361,14,2,0
321,LAFC,Mamadou Fall,2022,CB,1338,13,3,1
85,ATL,Marcelino Moreno,2022,AM,1957,56,17,2
295,RSL,Marcelo Silva,2022,CB,3049,26,7,2
241,FCD,Marco Farfan,2022,FB,2975,8,5,1
423,SJE,Marcos López,2022,FB,1515,15,2,1
491,VAN,Marcus Godinho,2022,FB,1123,6,3,0
233,SKC,Marinos Tzionis,2022,W,912,22,8,1
224,LAG,Mark Delgado,2022,CM,2764,11,3,2
150,TOR,Mark-Anthony Kaye,2022,CM,2066,22,10,3
599,CLB,Marlon Hairston,2022,FB,168,0,0,0
615,LAG,Martín Cáceres,2022,CB,475,2,0,0
387,DCU,Martín Rodríguez,2022,W,964,5,0,0
189,POR,Marvin Loría,2022,W,949,21,7,2
213,MTL,Mason Toye,2022,ST,802,20,7,2
700,DCU,Matai Akinmboni,2022,CB,126,0,0,0
374,ATL,Matheus Rossetto,2022,CM,1757,13,4,0
278,MTL,Mathieu Choinière,2022,FB,1524,15,2,2
