PLAYER_ID,NAME,SEASON,Base,Total
67,Lucas Cavallini,2022,"1,200,000.00  $","1,462,500.00  $"
68,Justin Meram,2022,"425,000.00  $","468,750.00  $"
69,Jonathan Lewis,2022,"410,000.00  $","435,000.00  $"
70,Jamiro Monteiro,2022,"1,200,000.00  $","1,293,500.00  $"
71,Chris Mueller,2022,"549,996.00  $","612,316.00  $"
72,Taxiarchis Fountas,2022,"1,600,000.00  $","1,646,000.00  $"
73,Kei Kamara,2022,"84,000.00  $","94,000.00  $"
74,Federico Bernardeschi,2022,"3,125,000.00  $","6,256,320.00  $"
75,Gustavo Bou,2022,"2,500,000.00  $","2,675,000.00  $"
76,Cory Burke,2022,"400,000.00  $","450,770.00  $"
77,Alan Velasco,2022,"1,100,000.00  $","1,305,000.00  $"
78,Jefferson Savarino,2022,"2,000,000.00  $","2,224,290.00  $"
79,Cucho Hernández,2022,"2,600,000.00  $","2,886,000.00  $"
80,Daniel Ríos,2022,"230,000.00  $","251,500.00  $"
81,Ariel Lassiter,2022,"210,000.00  $","230,280.00  $"
82,William Agada,2022,"200,000.00  $","246,875.00  $"
83,Brooks Lennon,2022,"500,000.00  $","500,000.00  $"
84,Raúl Ruidíaz,2022,"2,472,000.00  $","3,201,120.00  $"
85,Marcelino Moreno,2022,"460,000.00  $","568,333.00  $"
86,Kacper Przybylko,2022,"1,100,000.00  $","1,212,500.00  $"
87,Alexander Ring,2022,"1,500,000.00  $","1,640,000.00  $"
88,Kevin Cabral,2022,"1,650,000.00  $","1,650,000.00  $"
89,Maximiliano Urruti,2022,"625,000.00  $","661,250.00  $"
90,Rándall Leal,2022,"850,000.00  $","965,000.00  $"
91,Mauricio Pereyra,2022,"1,100,000.00  $","1,348,000.00  $"
92,Julian Gressel,2022,"914,000.00  $","969,781.00  $"
93,Alexandre Pato,2022,"400,000.00  $","400,000.00  $"
94,Pablo Ruiz,2022,"450,000.00  $","523,500.00  $"
95,Cristian Roldan,2022,"860,000.00  $","981,542.00  $"
96,Alejandro Bedoya,2022,"900,000.00  $","1,110,000.00  $"
97,Gabriel Pereira,2022,"555,000.00  $","624,500.00  $"
98,Bongokuhle Hlongwane,2022,"530,000.00  $","580,000.00  $"
99,Efrain Álvarez,2022,"600,000.00  $","712,167.00  $"
100,Kai Wagner,2022,"510,000.00  $","581,000.00  $"
101,Brian White,2022,"456,000.00  $","456,000.00  $"
102,Brandon Bye,2022,"325,000.00  $","343,813.00  $"
103,Fredy Montero,2022,"110,000.00  $","110,000.00  $"
