,Player_ID,Season,Base Salary,Guaranteed Compensation
169,Yimmi-Chará-2022-1,2022,"$1,500,000","$1,803,000"
170,Yimmi-Chará-2023-1,2023,"$1,500,000","$1,803,000"
171,Kevin-Cabral-2023-1,2023,"$1,800,000","$1,800,000"
172,Darlington-Nagbe-2023-1,2023,"$1,800,000","$1,800,000"
173,Mauricio-Pereyra-2021-1,2021,"$1,800,000","$1,800,000"
174,Victor-Wanyama-2023-1,2023,"$1,440,000","$1,800,000"
175,Damir-Kreilach-2022-1,2022,"$1,762,572","$1,762,572"
176,Brenner-2021-1,2021,"$1,221,818","$1,760,418"
177,Brenner-2021-1,2021,"$1,221,818","$1,760,418"
178,Darlington-Nagbe-2022-1,2022,"$1,760,000","$1,760,000"
179,Darlington-Nagbe-2022-1,2022,"$1,760,000","$1,760,000"
180,Jefferson-Savarino-2023-1,2023,"$1,525,000","$1,749,292"
181,Georgios-Giakoumakis-2023-1,2023,"$1,576,636","$1,748,728"
182,Sebastián-Blanco-2023-1,2023,"$1,380,000","$1,748,000"
183,Giacomo-Vrioni-2022-1,2022,"$1,500,000","$1,747,500"
184,Taxiarchis-Fountas-2023-1,2023,"$1,700,000","$1,741,000"
185,Cecilio-Domínguez-2021-1,2021,"$1,530,000","$1,736,000"
186,Cecilio-Domínguez-2021-1,2021,"$1,530,000","$1,736,000"
187,Cecilio-Domínguez-2022-1,2022,"$1,530,000","$1,736,000"
188,Edison-Flores-2021-1,2021,"$1,600,000","$1,733,000"
189,Edison-Flores-2021-1,2021,"$1,600,000","$1,733,000"
190,Edison-Flores-2022-1,2022,"$1,600,000","$1,733,000"
191,Riqui-Puig-2023-1,2023,"$1,650,000","$1,732,500"
192,Paul-Arriola-2023-1,2023,"$1,550,000","$1,729,400"
193,Cristian-Tello-2022-1,2022,"$1,333,333","$1,725,069"
194,Darlington-Nagbe-2021-1,2021,"$1,710,000","$1,710,000"
195,Darlington-Nagbe-2021-1,2021,"$1,710,000","$1,710,000"
196,Sebastián-Blanco-2022-1,2022,"$1,340,000","$1,708,000"
197,Sebastián-Blanco-2022-1,2022,"$1,340,000","$1,708,000"
198,Riqui-Puig-2022-1,2022,"$1,612,500","$1,695,000"
199,Mikael-Uhre-2022-1,2022,"$1,400,000","$1,666,250"
200,Erik-Thommy-2023-1,2023,"$1,550,000","$1,656,250"
201,Kevin-Cabral-2022-1,2022,"$1,650,000","$1,650,000"
202,Kevin-Cabral-2022-1,2022,"$1,650,000","$1,650,000"
203,Damir-Kreilach-2023-1,2023,"$1,650,000","$1,650,000"
204,Taxiarchis-Fountas-2022-1,2022,"$1,600,000","$1,646,000"
205,Taxiarchis-Fountas-2022-1,2022,"$1,600,000","$1,641,000"
206,Alexander-Ring-2022-1,2022,"$1,500,000","$1,640,000"
207,Alexander-Ring-2022-1,2022,"$1,500,000","$1,640,000"
208,Alexander-Ring-2023-1,2023,"$1,500,000","$1,640,000"
209,Hany-Mukhtar-2022-1,2022,"$1,637,500","$1,637,500"
210,Gastón-Giménez-2023-1,2023,"$1,600,000","$1,633,333"
211,Roman-Bürki-2023-1,2023,"$1,500,000","$1,632,469"
212,Johnny-Russell-2021-1,2021,"$1,600,000","$1,600,000"
213,Johnny-Russell-2021-1,2021,"$1,600,000","$1,600,000"
214,Jürgen-Damm-2021-1,2021,"$1,290,000","$1,582,509"
215,Jürgen-Damm-2021-1,2021,"$1,290,000","$1,582,509"
216,Mikael-Uhre-2022-1,2022,"$1,400,000","$1,582,500"
217,Carlos-Gruezo-2023-1,2023,"$1,350,000","$1,571,086"
218,Ashley-Fletcher-2022-1,2022,"$1,350,000","$1,569,750"
219,Jordan-Morris-2023-1,2023,"$1,550,000","$1,560,000"
220,,2022,"$1,500,000","$1,550,000"
221,,2022,"$1,500,000","$1,550,000"
222,Damir-Kreilach-2022-1,2022,"$1,400,000","$1,550,000"
223,Nemanja-Radoja-2023-1,2023,"$1,440,000","$1,530,000"
224,Ola-Kamara-2022-1,2022,"$1,500,000","$1,520,000"
225,Ola-Kamara-2022-1,2022,"$1,500,000","$1,520,000"
226,Domenico-Criscito-2022-1,2022,"$1,200,000","$1,510,000"
227,Hany-Mukhtar-2021-1,2021,"$1,505,000","$1,505,000"
228,Hany-Mukhtar-2021-1,2021,"$1,505,000","$1,505,000"
229,Yimmi-Chará-2021-1,2021,"$1,200,000","$1,503,000"
230,Matt-Miazga-2023-1,2023,"$1,500,000","$1,500,000"
231,Blaise-Matuidi-2021-1,2021,"$1,500,000","$1,500,000"
232,Blaise-Matuidi-2021-1,2021,"$1,500,000","$1,500,000"
233,,2022,"$1,500,000","$1,500,000"
234,,2022,"$1,500,000","$1,500,000"
235,Michael-Bradley-2021-1,2021,"$1,500,000","$1,500,000"
236,Michael-Bradley-2021-1,2021,"$1,500,000","$1,500,000"
237,Michael-Bradley-2022-1,2022,"$1,500,000","$1,500,000"
238,Michael-Bradley-2022-1,2022,"$1,500,000","$1,500,000"
239,Jesús-Ferreira-2022-1,2022,"$1,300,000","$1,499,000"
240,Jesús-Ferreira-2022-1,2022,"$1,300,000","$1,499,000"
241,Aké-Arnaud-Loba-2022-1,2022,"$1,250,000","$1,491,475"
242,Aké-Arnaud-Loba-2022-1,2022,"$1,250,000","$1,491,475"
243,Jamiro-Monteiro-2021-1,2021,"$1,300,000","$1,476,250"
244,Jamiro-Monteiro-2021-1,2021,"$1,300,000","$1,476,250"
245,Jairo-Torres-2023-1,2023,"$1,100,004","$1,469,337"
246,Matt-Miazga-2022-1,2022,"$1,464,000","$1,464,000"
247,Lucas-Cavallini-2022-1,2022,"$1,200,000","$1,462,500"
248,Lucas-Cavallini-2022-1,2022,"$1,200,000","$1,462,500"
249,Dante-Vanzeir-2023-1,2023,"$1,320,000","$1,459,767"
250,Cristian-Roldan-2023-1,2023,"$1,320,000","$1,441,000"
251,Kevin-Cabral-2021-1,2021,"$1,440,000","$1,440,000"
252,Kevin-Cabral-2021-1,2021,"$1,440,000","$1,440,000"
253,Miles-Robinson-2023-1,2023,"$1,400,000","$1,437,500"
254,Ezequiel-Barco-2021-1,2021,"$1,425,000","$1,425,000"
