"","Player","Team","Season","Position","Base Salary","Guaranteed Compensation","Date"
"","Graham Zusi","SKC","2021","D","$650,000","$713,333","2021-04-15"
"","Graham Zusi","SKC","2021","D","$650,000","$713,333","2021-09-30"
"","Steve Birnbaum","DCU","2021","D","$700,000","$712,500","2021-04-15"
"","Steve Birnbaum","DCU","2021","D","$700,000","$712,500","2021-09-30"
"","Efrain Álvarez","LAG","2022","M","$600,000","$712,167","2022-04-15"
"","Bryan Acosta","COL","2022","M","$650,000","$706,667","2022-04-15"
"","Bryan Acosta","COL","2022","M","$650,000","$706,667","2022-09-02"
"","Efrain Álvarez","LAG","2022","M","$600,000","$706,250","2022-09-02"
"","Diego Rubio","COL","2023","F","$660,000","$704,667","2023-04-30"
"","Michael Boxall","MIN","2023","D","$650,000","$703,097","2023-04-30"
"","Lalas Abubakar","COL","2023","D","$665,000","$702,125","2023-04-30"
"","Kai Wagner","PHI","2023","D","$630,000","$701,000","2023-04-30"
"","Kevin Molino","CLB","2022","M","$700,348","$700,348","2022-04-15"
"","Kevin Molino","CLB","2022","M","$700,348","$700,348","2022-09-02"
"","Bryan Acosta","FCD","2021","M","$650,000","$700,000","2021-04-15"
"","Bryan Acosta","FCD","2021","M","$650,000","$700,000","2021-09-30"
"","Alexandru Mitrita","NYC","2021","F","$700,000","$700,000","2021-04-15"
"","Alexandru Mitrita","NYC","2021","F","$700,000","$700,000","2021-09-30"
"","Bill Hamid","DCU","2022","GK","$700,000","$700,000","2022-04-15"
"","Bill Hamid","DCU","2022","GK","$700,000","$700,000","2022-09-02"
"","Mark-Anthony Kaye","COL","2022","M","$700,000","$700,000","2022-04-15"
"","Mark-Anthony Kaye","TOR","2022","M","$700,000","$700,000","2022-09-02"
"","Paxton Pomykal","FCD","2022","M","$700,000","$700,000","2022-04-15"
"","Paxton Pomykal","FCD","2022","M","$700,000","$700,000","2022-09-02"
"","Xavier Arreaga","SEA","2022","D","$700,000","$700,000","2022-04-15"
"","Xavier Arreaga","SEA","2022","D","$700,000","$700,000","2022-09-02"
"","Brooks Lennon","ATL","2023","D","$700,000","$700,000","2023-04-30"
"","Maxime Chanot","NYC","2022","D","$700,000","$700,000","2022-04-15"
"","Maxime Chanot","NYC","2022","D","$700,000","$700,000","2022-09-02"
"","Romain Métanire","MIN","2021","D","$600,000","$699,250","2021-04-15"
"","Romain Métanire","MIN","2021","D","$600,000","$699,250","2021-09-30"
"","Sergio Córdova","RSL","2022","F","$600,000","$696,000","2022-04-15"
"","Sergio Córdova","RSL","2022","F","$600,000","$696,000","2022-09-02"
"","Luis Abram","ATL","2023","D","$556,364","$695,977","2023-04-30"
"","Julio Cascante","ATX","2023","D","$620,000","$693,750","2023-04-30"
"","Santiago Sosa","ATL","2023","D","$575,000","$693,100","2023-04-30"
"","Aleksandar Radovanovic","ATX","2023","D","$600,000","$692,500","2023-04-30"
"","Jeremy Ebobisse","POR","2021","F","$600,000","$691,250","2021-04-15"
"","Jeremy Ebobisse","SJE","2021","F","$600,000","$691,250","2021-09-30"
"","Nathan","SJE","2022","D","$650,000","$691,250","2022-04-15"
"","Nathan","SJE","2022","D","$650,000","$691,250","2022-09-02"
"","Cade Cowell","SJE","2023","F","$600,000","$689,909","2023-04-30"
"","Pedro Santos","CLB","2022","D","$625,000","$687,500","2022-04-15"
"","Pedro Santos","CLB","2022","D","$625,000","$687,500","2022-09-02"
"","Miles Robinson","ATL","2021","D","$650,000","$687,500","2021-04-15"
"","Miles Robinson","ATL","2021","D","$650,000","$687,500","2021-09-30"
"","Ike Opara","MIN","2021","D","$600,000","$685,333","2021-04-15"
"","Diego Chara","POR","2022","M","$675,000","$683,333","2022-04-15"
"","Diego Chara","POR","2022","M","$675,000","$683,333","2022-09-02"
"","Sean Johnson","TOR","2023","GK","$405,751","$683,013","2023-04-30"
"","Cristian Arango","LAFC","2022","M","$624,000","$683,000","2022-04-15"
"","Cristian Arango","LAFC","2022","M","$624,000","$683,000","2022-09-02"
"","Michael Barrios","COL","2022","M","$650,000","$680,000","2022-04-15"
"","Michael Barrios","COL","2022","M","$650,000","$680,000","2022-09-02"
"","Michael Barrios","COL","2023","F","$650,000","$680,000","2023-04-30"
"","Arnaud Souquet","CHI","2023","D","$600,000","$679,667","2023-04-30"
"","Julian Araujo","LAG","2022","D","$575,000","$678,750","2022-04-15"
"","Julian Araujo","LAG","2022","D","$575,000","$678,750","2022-09-02"
"","Derrick Etienne","ATL","2023","F","$676,250","$676,250","2023-04-30"
"","Mauricio Pereyra","ORL","2023","M","$675,000","$675,000","2023-04-30"
"","José Antonio Martínez","FCD","2021","D","$600,000","$673,000","2021-04-15"
"","José Antonio Martínez","FCD","2021","D","$600,000","$673,000","2021-09-30"
"","Rubio Rubín","RSL","2023","F","$600,000","$672,847","2023-04-30"
"","Ayo Akinola","TOR","2022","F","$600,000","$671,875","2022-04-15"
"","Ayo Akinola","TOR","2022","F","$600,000","$671,875","2022-09-02"
"","Dave Romney","NER","2023","D","$625,000","$671,667","2023-04-30"
"","Boris Sekulic","CHI","2022","D","$596,000","$668,900","2022-04-15"
"","Boris Sekulic","CHI","2022","D","$596,000","$668,900","2022-09-02"
"","Diego Chara","POR","2021","M","$650,000","$668,750","2021-04-15"
"","Diego Chara","POR","2021","M","$650,000","$668,750","2021-09-30"
"","Nanu","FCD","2022","D","$600,000","$668,750","2022-04-15"
"","Nanu","FCD","2022","D","$600,000","$668,750","2022-09-02"
"","Alan Franco","ATL","2022","D","$540,000","$667,500","2022-04-15"
"","Alan Franco","ATL","2022","D","$540,000","$667,500","2022-09-02"
"","Kevin Molino","CLB","2021","M","$667,000","$667,000","2021-04-15"
"","Kevin Molino","CLB","2021","M","$667,000","$667,000","2021-09-30"
"","Latif Blessing","NER","2023","M","$600,000","$665,000","2023-04-30"
"","Yaw Yeboah","CLB","2022","M","$600,000","$663,750","2022-04-15"
"","Yaw Yeboah","CLB","2022","M","$600,000","$663,750","2022-09-02"
"","Yaw Yeboah","CLB","2023","F","$600,000","$663,750","2023-04-30"
"","Matheus Rossetto","ATL","2021","M","$550,000","$662,500","2021-04-15"
"","Matheus Rossetto","ATL","2021","M","$550,000","$662,500","2021-09-30"
"","Matheus Rossetto","ATL","2022","M","$550,000","$662,500","2022-04-15"
"","Matheus Rossetto","ATL","2022","M","$550,000","$662,500","2022-09-02"
"","Chris Mueller","CHI","2023","F","$600,000","$662,320","2023-04-30"
"","Alfredo Morales","NYC","2021","M","$600,000","$662,250","2021-04-15"
"","Alfredo Morales","NYC","2021","M","$600,000","$662,250","2021-09-30"
"","Alfredo Morales","NYC","2022","M","$600,000","$662,250","2022-04-15"
"","Alfredo Morales","NYC","2022","M","$600,000","$662,250","2022-09-02"
"","Alfredo Morales","NYC","2023","M","$600,000","$662,250","2023-04-30"
"","Maximiliano Urruti","ATX","2022","F","$625,000","$661,250","2022-04-15"
"","Maximiliano Urruti","ATX","2022","F","$625,000","$661,250","2022-09-02"
"","Darwin Quintero","HOU","2022","F","$600,000","$661,250","2022-04-15"
"","Darwin Quintero","HOU","2022","F","$600,000","$661,250","2022-09-02"
"","Bakaye Dibassy","MIN","2023","D","$600,000","$661,250","2023-04-30"
"","Justen Glad","RSL","2021","D","$600,000","$660,031","2021-04-15"
"","Justen Glad","RSL","2021","D","$600,000","$660,031","2021-09-30"
"","Lassi Lappalainen","MTL","2023","F","$630,000","$660,000","2023-04-30"
"","José Mauri","SKC","2021","M","$660,000","$660,000","2021-09-30"
"","Mohanad Jeahze","DCU","2023","D","$660,000","$660,000","2023-04-30"
"","Gabriel Pereira","NYC","2023","F","$590,000","$659,500","2023-04-30"
"","Cristian Arango","LAFC","2021","M","$600,000","$659,000","2021-09-30"
"","Guzmán Corujo","CLT","2023","D","$625,000","$658,500","2023-04-30"
"","Diego Chara","POR","2023","M","$650,000","$658,333","2023-04-30"
"","Rodrigues","SJE","2023","D","$600,000","$658,000","2023-04-30"
"","Emerson Hyndman","ATL","2022","M","$657,143","$657,143","2022-04-15"
"","Emerson Hyndman","ATL","2022","M","$657,143","$657,143","2022-09-02"
"","Jack Price","COL","2021","M","$600,000","$655,625","2021-04-15"
"","Jack Price","COL","2021","M","$600,000","$655,625","2021-09-30"
"","Michael Boxall","MIN","2022","D","$602,210","$655,307","2022-04-15"
"","Michael Boxall","MIN","2022","D","$602,210","$655,307","2022-09-02"
"","Jan Gregus","SJE","2022","M","$600,000","$655,000","2022-04-15"
"","Jan Gregus","SJE","2022","M","$600,000","$655,000","2022-09-02"
"","Jeong Sang-Bin","MIN","2023","F","$548,000","$654,708","2023-04-30"
"","Leo Väisänen","ATX","2023","D","$600,000","$654,500","2023-04-30"
"","Julian Araujo","LAG","2021","D","$550,000","$653,750","2021-09-30"
"","Lewis Morgan","NYRB","2022","M","$650,000","$653,125","2022-04-15"
"","Lewis Morgan","NYRB","2022","M","$650,000","$653,125","2022-09-02"
"","Djordje Mihailovic","MTL","2021","M","$600,000","$651,875","2021-04-15"
"","Djordje Mihailovic","MTL","2021","M","$600,000","$651,875","2021-09-30"
"","Artur","HOU","2023","D","$600,000","$651,633","2023-04-30"
"","Dejan Joveljic","LAG","2023","F","$651,250","$651,250","2023-04-30"
"","Andrew Farrell","NER","2023","D","$651,250","$651,250","2023-04-30"
"","Gregore","MIA","2021","D","$550,000","$651,000","2021-04-15"
"","Gregore","MIA","2021","M","$550,000","$651,000","2021-09-30"
"","Matt Besler","ATX","2021","D","$650,000","$650,000","2021-04-15"
"","Matt Besler","ATX","2021","D","$650,000","$650,000","2021-09-30"
"","Remi Walter","SKC","2021","M","$650,000","$650,000","2021-04-15"
"","Remi Walter","SKC","2021","M","$650,000","$650,000","2021-09-30"
"","Andre Blake","PHI","2021","GK","$600,000","$650,000","2021-04-15"
"","Andre Blake","PHI","2021","GK","$600,000","$650,000","2021-09-30"
"","Stipe Biuk","LAFC","2023","F","$650,000","$650,000","2023-04-30"
"","Yerson Mosquera","CIN","2023","D","$600,000","$650,000","2023-04-30"
"","Michael Barrios","COL","2021","M","$650,000","$650,000","2021-04-15"
"","Michael Barrios","COL","2021","M","$650,000","$650,000","2021-09-30"
"","Anton Tinnerholm","NYC","2021","D","$600,000","$650,000","2021-04-15"
"","Anton Tinnerholm","NYC","2021","D","$600,000","$650,000","2021-09-30"
"","Khiry Shelton","SKC","2021","F","$650,000","$650,000","2021-04-15"
"","Khiry Shelton","SKC","2021","F","$650,000","$650,000","2021-09-30"
"","Mateusz Bogusz","LAFC","2023","M","$650,000","$650,000","2023-04-30"
"","Fafa Picault","NSH","2023","F","$650,000","$650,000","2023-04-30"
"","Stefan Frei","SEA","2023","GK","$650,000","$650,000","2023-04-30"
"","Nicolas Benezet","COL","2021","M","$650,000","$650,000","2021-04-15"
"","Nicolas Benezet","SEA","2021","M","$650,000","$650,000","2021-09-30"
"","Braian Ojeda","RSL","2023","M","$590,000","$648,653","2023-04-30"
"","Cristhian Paredes","POR","2023","M","$550,000","$648,000","2023-04-30"
"","Ismael Tajouri-Shradi","LAFC","2022","F","$606,375","$647,860","2022-04-15"
"","Ismael Tajouri-Shradi","NER","2022","F","$606,375","$647,860","2022-09-02"
"","Marcelo Silva","RSL","2022","D","$600,000","$646,667","2022-04-15"
"","Marcelo Silva","RSL","2022","D","$600,000","$646,667","2022-09-02"
"","Pedro Vite","VAN","2023","M","$592,000","$645,997","2023-04-30"
"","Boris Sekulic","CHI","2021","D","$571,000","$643,900","2021-04-15"
"","Boris Sekulic","CHI","2021","D","$571,000","$643,900","2021-09-30"
"","Santiago Sosa","ATL","2022","M","$525,000","$643,100","2022-04-15"
"","Santiago Sosa","ATL","2022","M","$525,000","$643,100","2022-09-02"
"","Tomás Pochettino","ATX","2021","M","$582,447","$642,447","2021-04-15"
"","Tomás Pochettino","ATX","2021","M","$582,447","$642,447","2021-09-30"
"","Nathan","SJE","2021","D","$600,000","$641,250","2021-09-30"
"","Dylan Borrero","NER","2023","F","$575,000","$638,962","2023-04-30"
"","Sean Davis","NSH","2022","M","$637,500","$637,500","2022-04-15"
"","Sean Davis","NSH","2022","M","$637,500","$637,500","2022-09-02"
"","Tim Melia","SKC","2023","GK","$625,000","$637,500","2023-04-30"
"","Jackson Yueill","SJE","2021","M","$600,000","$636,875","2021-04-15"
"","Jackson Yueill","SJE","2021","M","$600,000","$636,875","2021-09-30"
"","Jhegson Méndez","ORL","2022","M","$600,000","$636,750","2022-04-15"
"","Jhegson Méndez","LAFC","2022","M","$600,000","$636,750","2022-09-02"
"","Cade Cowell","SJE","2022","F","$545,455","$635,364","2022-04-15"
"","Cade Cowell","SJE","2022","F","$545,455","$635,364","2022-09-02"
"","Guzmán Corujo","CLT","2022","D","$600,000","$633,500","2022-04-15"
"","Guzmán Corujo","CLT","2022","D","$600,000","$633,500","2022-09-02"
"","Steven Moreira","CLB","2022","D","$550,000","$632,708","2022-04-15"
"","Steven Moreira","CLB","2022","D","$550,000","$632,708","2022-09-02"
"","Kenneth Kronholm","CHI","2021","GK","$569,000","$632,000","2021-04-15"
"","Kenneth Kronholm","CHI","2021","GK","$569,000","$632,000","2021-09-30"
"","Robin Jansson","ORL","2023","D","$575,000","$631,250","2023-04-30"
"","Nicolás Figal","MIA","2021","D","$600,000","$630,000","2021-04-15"
"","Nicolás Figal","MIA","2021","D","$600,000","$630,000","2021-09-30"
"","Diego Rubio","COL","2021","F","$585,000","$629,583","2021-04-15"
"","Diego Rubio","COL","2021","F","$585,000","$629,583","2021-09-30"
"","Diego Rubio","COL","2022","F","$585,000","$629,583","2022-04-15"
"","Diego Rubio","COL","2022","F","$585,000","$629,583","2022-09-02"
"","Marcelino Moreno","ATL","2023","M","$520,000","$628,333","2023-04-30"
"","Haris Medunjanin","CIN","2021","M","$570,000","$625,750","2021-04-15"
"","Haris Medunjanin","CIN","2021","M","$570,000","$625,750","2021-09-30"
"","Eryk Williamson","POR","2023","M","$625,000","$625,000","2023-04-30"
"","Khiry Shelton","SKC","2023","F","$575,000","$625,000","2023-04-30"
"","Marinos Tzionis","SKC","2023","F","$625,000","$625,000","2023-04-30"
"","Gabriel Pereira","NYC","2022","F","$555,000","$624,500","2022-04-15"
"","Gabriel Pereira","NYC","2022","F","$555,000","$624,500","2022-09-02"
"","Matías Vera","HOU","2023","D","$550,000","$622,813","2023-04-30"
"","Matías Vera","HOU","2022","M","$550,000","$622,812","2022-04-15"
