,Date,Home,HG,Away,AG
249,2023-06-03,COL,0,SJE,0
250,2023-06-03,STL,3,HOU,0
251,2023-06-03,ATX,1,RSL,2
252,2023-06-03,FCD,1,NSH,1
253,2023-06-03,MIN,1,TOR,1
254,2023-06-03,CLB,4,CLT,2
255,2023-06-03,PHI,3,MTL,0
256,2023-06-03,MIA,1,DCU,2
257,2023-06-03,NYRB,0,ORL,3
258,2023-06-03,CIN,1,CHI,0
259,2023-06-03,SEA,0,POR,0
260,2023-06-03,NYC,0,NER,0
261,2023-05-31,SEA,0,SJE,1
262,2023-05-31,VAN,6,HOU,2
263,2023-05-31,SKC,2,FCD,1
264,2023-05-31,RSL,2,LAG,3
265,2023-05-31,ATX,2,MIN,1
266,2023-05-31,MIA,0,NYRB,1
267,2023-05-31,NYC,1,CIN,3
268,2023-05-31,DCU,2,MTL,2
269,2023-05-31,TOR,0,CHI,0
270,2023-05-31,PHI,0,CLT,0
271,2023-05-31,CLB,3,COL,2
272,2023-05-31,ATL,3,NER,3
273,2023-05-28,NSH,3,CLB,1
274,2023-05-28,SKC,3,POR,1
275,2023-05-27,SEA,1,NYRB,0
276,2023-05-27,LAG,0,CLT,1
277,2023-05-27,SJE,1,FCD,1
278,2023-05-27,COL,0,CIN,1
279,2023-05-27,STL,2,VAN,1
280,2023-05-27,MIN,0,RSL,1
281,2023-05-27,HOU,2,ATX,1
282,2023-05-27,NER,3,CHI,2
283,2023-05-27,NYC,1,PHI,3
284,2023-05-27,TOR,2,DCU,1
285,2023-05-27,MTL,1,MIA,0
286,2023-05-27,ORL,1,ATL,1
287,2023-05-20,LAFC,2,SJE,1
288,2023-05-20,POR,0,MIN,1
289,2023-05-20,VAN,1,SEA,0
290,2023-05-20,COL,2,RSL,3
291,2023-05-20,STL,4,SKC,0
292,2023-05-20,ATX,1,TOR,0
293,2023-05-20,CHI,2,ATL,3
294,2023-05-20,FCD,1,HOU,1
295,2023-05-20,DCU,3,LAG,0
296,2023-05-20,CLT,1,NSH,2
297,2023-05-20,MIA,1,ORL,3
298,2023-05-20,CIN,3,CLB,2
299,2023-05-20,NYRB,2,MTL,1
300,2023-05-20,PHI,3,NER,0
301,2023-05-17,RSL,0,POR,0
302,2023-05-17,LAFC,1,SKC,1
303,2023-05-17,SEA,1,ATX,2
304,2023-05-17,MIN,1,HOU,0
305,2023-05-17,FCD,2,VAN,1
306,2023-05-17,NSH,2,MIA,1
307,2023-05-17,PHI,0,DCU,0
308,2023-05-17,CLT,2,CHI,1
309,2023-05-17,ATL,4,COL,0
310,2023-05-17,CLB,2,LAG,0
311,2023-05-17,CIN,2,MTL,0
312,2023-05-17,ORL,1,NYC,1
313,2023-05-17,TOR,0,NYRB,0
314,2023-05-14,LAG,2,SJE,1
315,2023-05-13,POR,3,VAN,0
316,2023-05-13,COL,1,PHI,2
317,2023-05-13,RSL,0,LAFC,3
318,2023-05-13,HOU,0,SEA,1
319,2023-05-13,SKC,3,MIN,0
320,2023-05-13,ATX,0,FCD,1
321,2023-05-13,MIA,2,NER,1
322,2023-05-13,CLB,2,ORL,2
323,2023-05-13,DCU,1,NSH,1
324,2023-05-13,NYRB,1,NYC,0
325,2023-05-13,MTL,2,TOR,0
326,2023-05-13,ATL,1,CLT,3
327,2023-05-13,CHI,1,STL,0
328,2023-05-07,SEA,1,SKC,2
329,2023-05-06,VAN,3,MIN,2
330,2023-05-06,LAG,1,COL,3
331,2023-05-06,POR,2,ATX,2
332,2023-05-06,HOU,0,RSL,0
333,2023-05-06,NSH,3,CHI,0
334,2023-05-06,CLT,2,NYC,2
335,2023-05-06,CIN,2,DCU,1
336,2023-05-06,MTL,1,ORL,0
337,2023-05-06,TOR,0,NER,2
338,2023-05-06,SJE,2,LAFC,1
339,2023-05-06,NYRB,0,PHI,1
340,2023-05-06,MIA,2,ATL,1
341,2023-04-30,MIN,0,FCD,0
342,2023-04-29,VAN,0,COL,0
343,2023-04-29,RSL,0,SEA,0
344,2023-04-29,SKC,0,MTL,2
345,2023-04-29,ATX,2,SJE,2
346,2023-04-29,STL,1,POR,2
347,2023-04-29,CHI,1,NYRB,1
348,2023-04-29,CLB,1,MIA,2
349,2023-04-29,TOR,1,NYC,0
350,2023-04-29,DCU,3,CLT,0
351,2023-04-29,NER,1,CIN,1
352,2023-04-29,ORL,2,LAG,0
353,2023-04-29,NSH,3,ATL,1
354,2023-04-23,ATL,1,CHI,1
355,2023-04-22,LAG,2,ATX,0
356,2023-04-22,SEA,1,MIN,0
357,2023-04-22,COL,1,STL,1
358,2023-04-22,RSL,3,SJE,1
359,2023-04-22,NSH,1,LAFC,1
360,2023-04-22,HOU,1,MIA,0
361,2023-04-22,CIN,2,POR,1
362,2023-04-22,ORL,1,DCU,3
363,2023-04-22,CLT,1,CLB,0
364,2023-04-22,NER,2,SKC,1
365,2023-04-22,MTL,1,NYRB,0
366,2023-04-22,NYC,3,FCD,1
367,2023-04-22,PHI,3,TOR,2
368,2023-04-16,LAG,2,LAFC,3
369,2023-04-15,STL,4,CIN,1
370,2023-04-15,POR,4,SEA,1
371,2023-04-15,SJE,3,SKC,0
372,2023-04-15,FCD,2,RSL,1
373,2023-04-15,ATX,0,VAN,0
374,2023-04-15,MIN,1,ORL,2
375,2023-04-15,CHI,1,PHI,2
376,2023-04-15,NYRB,1,HOU,1
377,2023-04-15,CLB,1,NER,0
378,2023-04-15,TOR,2,ATL,2
379,2023-04-15,NYC,2,NSH,1
380,2023-04-15,MTL,0,DCU,1
381,2023-04-15,CLT,2,COL,2
382,2023-04-08,SEA,2,STL,0
383,2023-04-08,VAN,1,POR,0
384,2023-04-08,RSL,3,CLT,1
385,2023-04-08,HOU,3,LAG,0
386,2023-04-08,SKC,0,COL,1
387,2023-04-08,CHI,2,MIN,1
