,Team,Season,Games,ShtF,ShtA,GF,GA,Pts,TeamID
157,PHI,2014,34,467,406,50,49,42,PHI2014
158,COL,2019,34,483,527,57,56,42,COL2019
159,NER,2022,34,437,481,47,48,42,NER2022
160,PHI,2016,34,425,443,50,54,42,PHI2016
161,HOU,2015,34,376,374,42,47,42,HOU2015
162,CLT,2022,34,384,445,42,51,42,CLT2022
163,NER,2016,34,475,447,41,54,42,NER2016
164,ORL,2020,23,266,304,39,24,41,ORL2020
165,CLB,2020,23,251,277,34,21,41,CLB2020
166,SEA,2022,34,420,447,44,46,41,SEA2022
167,NER,2018,34,486,436,48,52,41,NER2018
168,NYC,2023,34,419,374,34,38,41,NYC2023
169,CLB,2013,34,479,446,41,46,41,CLB2013
170,ORL,2016,34,426,475,53,59,41,ORL2016
171,MIN,2023,34,465,496,43,50,41,MIN2023
172,SJE,2021,34,454,516,42,51,41,SJE2021
173,TOR,2014,34,461,434,43,52,41,TOR2014
174,RSL,2015,34,373,447,37,47,41,RSL2015
175,MTL,2019,34,391,376,44,59,41,MTL2019
176,MTL,2023,34,379,435,33,49,41,MTL2023
177,MIA,2021,34,326,435,35,51,41,MIA2021
178,DCU,2023,34,458,407,44,48,40,DCU2023
179,ATL,2022,34,540,427,48,54,40,ATL2022
180,CHI,2023,34,351,473,36,49,40,CHI2023
181,SKC,2022,34,415,389,40,53,40,SKC2022
182,HOU,2019,34,455,486,45,59,40,HOU2019
183,SEA,2020,22,280,210,42,22,39,SEA2020
184,SKC,2020,21,313,199,37,23,39,SKC2020
185,NYC,2020,23,356,256,36,25,39,NYC2020
186,POR,2020,23,259,332,46,35,39,POR2020
187,MTL,2017,34,419,472,52,57,39,MTL2017
188,ATX,2023,34,399,501,48,54,39,ATX2023
189,CHI,2022,34,429,409,39,47,39,CHI2022
190,VAN,2016,34,429,513,42,52,39,VAN2016
191,ORL,2017,34,419,409,39,56,39,ORL2017
192,HOU,2014,34,450,481,37,57,39,HOU2014
193,HOU,2018,34,474,413,58,56,38,HOU2018
194,SJE,2016,34,409,411,32,38,38,SJE2016
195,CLB,2019,34,395,442,37,47,38,CLB2019
196,SKC,2019,34,499,463,46,67,38,SKC2019
197,ORL,2019,34,386,467,44,50,37,ORL2019
198,COL,2015,34,417,411,33,42,37,COL2015
199,NYC,2015,34,446,504,48,58,37,NYC2015
200,PHI,2015,34,381,413,40,54,37,PHI2015
201,TOR,2018,34,485,463,58,64,36,TOR2018
202,CLB,2016,34,463,427,48,55,36,CLB2016
203,CHI,2014,34,423,412,41,50,36,CHI2014
204,HOU,2022,34,390,501,43,54,36,HOU2022
205,LAG,2023,34,496,482,50,65,36,LAG2023
206,MIN,2017,34,338,563,45,67,36,MIN2017
207,MIN,2018,34,376,550,48,70,36,MIN2018
208,SJE,2022,34,455,481,52,69,35,SJE2022
209,MIN,2020,21,292,297,33,25,34,MIN2020
210,FCD,2020,22,278,340,28,24,34,FCD2020
211,HOU,2016,34,424,444,38,45,34,HOU2016
212,MIA,2023,34,365,463,41,51,34,MIA2023
213,TOR,2022,34,372,492,48,64,34,TOR2022
214,CHI,2021,34,473,488,34,51,34,CHI2021
215,VAN,2019,34,359,684,37,55,34,VAN2019
216,FCD,2021,34,446,490,46,55,33,FCD2021
217,COL,2017,34,324,489,31,49,33,COL2017
218,CHV,2014,34,322,439,28,61,33,CHV2014
219,LAFC,2020,22,358,236,45,36,32,LAFC2020
220,NER,2020,23,341,246,25,23,32,NER2020
221,NSH,2020,23,273,264,24,22,32,NSH2020
222,NYRB,2020,23,245,260,29,30,32,NYRB2020
223,CHI,2018,34,341,507,46,60,32,CHI2018
224,COL,2014,34,476,377,42,61,32,COL2014
225,LAG,2017,34,399,505,42,66,32,LAG2017
226,DCU,2017,34,402,501,27,57,32,DCU2017
227,CHI,2016,34,394,504,40,56,31,CHI2016
228,ATX,2021,34,450,515,34,55,31,ATX2021
229,COL,2018,34,380,525,34,61,31,COL2018
230,CHI,2015,34,467,395,43,55,30,CHI2015
231,SJE,2020,23,305,270,34,48,30,SJE2020
232,SJE,2014,34,390,546,34,49,30,SJE2014
233,HOU,2021,34,426,448,34,51,30,HOU2021
234,TOR,2013,34,345,469,28,46,29,TOR2013
235,COL,2020,18,248,251,30,27,28,COL2020
236,MTL,2014,34,393,458,38,57,28,MTL2014
237,TOR,2021,34,350,471,37,64,28,TOR2021
238,ORL,2018,34,440,483,41,72,28,ORL2018
239,VAN,2020,23,195,379,24,41,27,VAN2020
240,COL,2023,34,363,478,26,54,27,COL2023
241,DCU,2022,34,357,487,36,68,27,DCU2022
242,MTL,2020,23,248,333,33,42,26,MTL2020
243,CHV,2013,34,333,522,28,66,26,CHV2013
244,MIA,2020,23,299,231,24,34,24,MIA2020
245,CIN,2019,34,359,512,29,74,24,CIN2019
246,CHI,2020,23,319,278,33,38,23,CHI2020
247,ATL,2020,23,219,265,23,30,22,ATL2020
248,RSL,2020,22,277,229,23,33,22,RSL2020
249,LAG,2020,22,249,304,26,46,22,LAG2020
250,TOR,2023,34,348,487,26,57,22,TOR2023
251,HOU,2020,23,329,340,30,39,21,HOU2020
252,DCU,2020,23,219,347,24,40,21,DCU2020
253,SJE,2018,34,439,515,47,71,21,SJE2018
254,CIN,2021,34,405,532,36,73,20,CIN2021
255,CIN,2020,23,235,290,11,36,16,CIN2020
256,DCU,2013,34,400,468,21,55,16,DCU2013
