,Player_ID,Season,Player,TeamID,Minutes,Shots Faced,Goals Conceded,Saves
155,Luis-Robles-2016-1,2016,Luis-Robles,NYRB2016,3342,143,43,100
156,Joe-Bendik-2021-1,2021,Joe-Bendik,PHI2021,238,8,3,5
157,Jesse-Gonzalez-2015-1,2015,Jesse-Gonzalez,FCD2015,1069,47,10,37
158,Bobby-Shuttleworth-2020-1,2020,Bobby-Shuttleworth,CHI2020,1672,81,27,53
159,Max-Anchor-2022-1,2022,Max-Anchor,VAN2022,101,6,2,4
160,Patrick-McLain-2018-1,2018,Patrick-McLain,CHI2018,428,20,5,13
161,Sean-Johnson-2013-1,2013,Sean-Johnson,CHI2013,2719,132,38,93
162,Jon-Kempin-2017-1,2017,Jon-Kempin,LAG2017,614,40,13,27
163,Brian-Rowe-2014-1,2014,Brian-Rowe,LAG2014,290,13,3,10
164,Eloy-Room-2019-1,2019,Eloy-Room,CLB2019,1199,47,14,33
165,George-Marks-2023-1,2023,George-Marks,CLT2023,712,41,12,29
166,Alex-Bono-2022-1,2022,Alex-Bono,TOR2022,2449,126,41,84
167,Matt-Bersano-2022-1,2022,Matt-Bersano,SJE2022,151,10,3,6
168,Joe-Willis-2016-1,2016,Joe-Willis,HOU2016,2466,129,39,89
169,Jake-Gleeson-2016-1,2016,Jake-Gleeson,POR2016,2692,153,39,111
170,Spencer-Richey-2021-1,2021,Spencer-Richey,SEA2021,196,5,0,5
171,Steward-Ceus-2013-1,2013,Steward-Ceus,COL2013,100,6,1,5
172,William-Yarbrough-2021-1,2021,William-Yarbrough,COL2021,3271,142,31,106
173,John-McCarthy-2022-1,2022,John-McCarthy,LAFC2022,101,6,2,4
174,Andrew-Tarbell-2016-1,2016,Andrew-Tarbell,SJE2016,56,2,1,1
175,Brad-Knighton-2018-1,2018,Brad-Knighton,NER2018,684,46,12,33
176,Paolo-Tornaghi-2016-1,2016,Paolo-Tornaghi,VAN2016,95,6,0,6
177,Stefan-Frei-2021-1,2021,Stefan-Frei,SEA2021,1661,62,15,44
178,Andrew-Putna-2018-1,2018,Andrew-Putna,RSL2018,156,7,1,6
179,Andrew-Weber-2014-1,2014,Andrew-Weber,POR2014,174,14,7,7
180,David-Bingham-2013-1,2013,David-Bingham,SJE2013,96,8,1,7
181,Mason-Stajduhar-2022-1,2022,Mason-Stajduhar,ORL2022,195,14,5,9
182,Joe-Cannon-2013-1,2013,Joe-Cannon,VAN2013,974,42,11,31
183,Bobby-Edwards-2020-1,2020,Bobby-Edwards,CIN2020,199,6,3,3
184,Alex-Roldan-2021-1,2021,Alex-Roldan,SEA2021,5,1,0,1
185,Brian-Rowe-2013-1,2013,Brian-Rowe,LAG2013,387,19,4,14
186,Elliot-Panicco-2023-1,2023,Elliot-Panicco,NSH2023,198,9,1,8
187,David-Ousted-2019-1,2019,David-Ousted,CHI2019,1373,56,20,34
188,Jalil-Anibaba-2016-1,2016,Jalil-Anibaba,HOU2016,14,2,0,2
189,Carlos-Joaquim-dos-Santos-2023-1,2023,Carlos-Joaquim-dos-Santos,MIA2023,97,4,1,3
190,Eirik-Holmen-Johansen-2016-1,2016,Eirik-Holmen-Johansen,NYC2016,97,6,1,5
191,Matt-Freese-2023-1,2023,Matt-Freese,NYC2023,1003,37,8,29
192,Maxime-Crépeau-2023-1,2023,Maxime-Crépeau,LAFC2023,702,17,6,11
193,Patrick-McLain-2013-1,2013,Patrick-McLain,CHV2013,134,7,3,4
194,Stefan-Frei-2013-1,2013,Stefan-Frei,TOR2013,95,3,1,2
195,Spencer-Richey-2022-1,2022,Spencer-Richey,CHI2022,103,4,2,2
196,Clément-Diop-2019-1,2019,Clément-Diop,MTL2019,197,7,1,6
197,Andrew-Tarbell-2023-1,2023,Andrew-Tarbell,HOU2023,100,4,0,4
198,Zack-Steffen-2019-1,2019,Zack-Steffen,CLB2019,1283,56,17,39
199,Tyler-Miller-2017-1,2017,Tyler-Miller,SEA2017,97,8,3,5
200,Marcus-Hahnemann-2013-1,2013,Marcus-Hahnemann,SEA2013,391,10,4,6
201,Ryan-Meara-2019-1,2019,Ryan-Meara,NYRB2019,101,5,1,4
202,Jeff-Attinella-2021-1,2021,Jeff-Attinella,POR2021,185,5,1,4
203,John-McCarthy-2016-1,2016,John-McCarthy,PHI2016,96,5,2,3
204,Ryan-Meara-2015-1,2015,Ryan-Meara,NYC2015,97,7,1,6
205,Alec-Kann-2015-1,2015,Alec-Kann,CHI2015,96,8,2,6
206,James-Pantemis-2020-1,2020,James-Pantemis,MTL2020,294,24,7,17
207,Phelipe-2020-1,2020,Phelipe,FCD2020,98,9,3,6
208,Thomas-Hasal-2023-1,2023,Thomas-Hasal,VAN2023,101,7,2,5
209,Dan-Kennedy-2016-1,2016,Dan-Kennedy,LAG2016,129,7,3,4
210,Greg-Ranjitsingh-2019-1,2019,Greg-Ranjitsingh,ORL2019,204,7,3,4
211,Patrick-McLain-2016-1,2016,Patrick-McLain,CHI2016,98,6,3,3
212,Tyler-Deric-2017-1,2017,Tyler-Deric,HOU2017,2546,109,30,76
213,David-Jensen-2020-1,2020,David-Jensen,NYRB2020,1022,41,14,25
214,Michael-Gspurning-2013-1,2013,Michael-Gspurning,SEA2013,2680,114,35,76
215,Matt-Freese-2020-1,2020,Matt-Freese,PHI2020,101,1,0,1
216,Matt-Freese-2019-1,2019,Matt-Freese,PHI2019,480,23,7,13
217,Jeff-Attinella-2016-1,2016,Jeff-Attinella,RSL2016,395,13,5,8
218,Alec-Kann-2018-1,2018,Alec-Kann,ATL2018,98,6,1,5
219,Ryan-Meara-2018-1,2018,Ryan-Meara,NYRB2018,300,16,3,12
220,Tim-Melia-2021-1,2021,Tim-Melia,SKC2021,2777,100,33,67
221,David-Bingham-2017-1,2017,David-Bingham,SJE2017,2211,94,33,58
222,Travis-Worra-2015-1,2015,Travis-Worra,DCU2015,39,1,0,1
223,Ryan-Hollingshead-2016-1,2016,Ryan-Hollingshead,FCD2016,7,1,0,1
224,Kyle-Reynish-2014-1,2014,Kyle-Reynish,CHI2014,96,4,2,2
225,Jesse-Gonzalez-2019-1,2019,Jesse-Gonzalez,FCD2019,3200,128,42,84
226,José-Gonçalves-2016-1,2016,José-Gonçalves,NER2016,0,0,0,0
227,Justin-Rasmussen-2023-1,2023,Justin-Rasmussen,POR2023,1,0,0,0
228,Stefan-Cleveland-2018-1,2018,Stefan-Cleveland,CHI2018,487,33,8,25
229,Bobby-Shuttleworth-2017-1,2017,Bobby-Shuttleworth,MIN2017,3080,174,57,116
230,Trevor-Spangenberg-2014-1,2014,Trevor-Spangenberg,CHV2014,25,2,1,1
231,Matt-Lampson-2019-1,2019,Matt-Lampson,LAG2019,98,7,4,3
232,Gabriel-Slonina-2022-1,2022,Gabriel-Slonina,CHI2022,3181,126,44,80
233,JT-Marcinkowski-2018-1,2018,JT-Marcinkowski,SJE2018,487,32,11,20
234,Aljaz-Ivacic-2021-1,2021,Aljaz-Ivacic,POR2021,464,32,12,20
235,Josh-Saunders-2013-1,2013,Josh-Saunders,RSL2013,253,18,4,13
236,Zac-MacMath-2020-1,2020,Zac-MacMath,RSL2020,588,21,7,14
237,Jimmy-Maurer-2019-1,2019,Jimmy-Maurer,FCD2019,199,12,4,8
238,Marko-Maric-2020-1,2020,Marko-Maric,HOU2020,2270,122,39,79
239,Maxime-Crépeau-2020-1,2020,Maxime-Crépeau,VAN2020,367,22,10,12
240,Tomás-Romero-2023-1,2023,Tomás-Romero,TOR2023,601,35,12,23
241,Alex-Bono-2019-1,2019,Alex-Bono,TOR2019,609,28,11,16
242,William-Yarbrough-2020-1,2020,William-Yarbrough,COL2020,1384,69,19,48
243,Alex-Tambakis-2017-1,2017,Alex-Tambakis,ATL2017,36,3,2,1
244,Joe-Willis-2023-1,2023,Joe-Willis,NSH2023,3210,130,30,98
245,Chris-Seitz-2019-1,2019,Chris-Seitz,DCU2019,98,3,1,2
246,David-Bingham-2022-1,2022,David-Bingham,POR2022,197,13,3,10
247,Stefan-Cleveland-2023-1,2023,Stefan-Cleveland,SEA2023,203,8,4,4
248,Abraham-Rodriguez-2023-1,2023,Abraham-Rodriguez,COL2023,100,5,1,4
249,Brad-Knighton-2022-1,2022,Brad-Knighton,NER2022,398,20,7,13
250,Adam-Grinwis-2018-1,2018,Adam-Grinwis,ORL2018,486,20,6,14
251,Vito-Mannone-2019-1,2019,Vito-Mannone,MIN2019,3356,175,43,129
252,Joe-Bendik-2016-1,2016,Joe-Bendik,ORL2016,3331,178,59,114
253,Brad-Knighton-2020-1,2020,Brad-Knighton,NER2020,97,6,1,5
254,Brad-Knighton-2017-1,2017,Brad-Knighton,NER2017,584,31,11,20
255,Sean-Johnson-2021-1,2021,Sean-Johnson,NYC2021,2861,115,30,84
256,Jon-Kempin-2015-1,2015,Jon-Kempin,SKC2015,288,11,5,6
257,Bryan-Meredith-2020-1,2020,Bryan-Meredith,VAN2020,292,27,7,20
258,Joe-Willis-2021-1,2021,Joe-Willis,NSH2021,3336,132,31,100
259,Andrew-Dykstra-2014-1,2014,Andrew-Dykstra,DCU2014,391,9,3,6
260,Connor-Sparrow-2020-1,2020,Connor-Sparrow,CHI2020,98,7,3,4
261,Tyler-Miller-2016-1,2016,Tyler-Miller,SEA2016,98,4,2,2
262,Brad-Stuver-2019-1,2019,Brad-Stuver,NYC2019,507,14,4,10
263,Zac-MacMath-2014-1,2014,Zac-MacMath,PHI2014,2822,125,44,77
264,Andre-Blake-2018-1,2018,Andre-Blake,PHI2018,3217,169,49,117
265,Patrick-Schulte-2023-1,2023,Patrick-Schulte,CLB2023,3132,135,42,90
266,Tyler-Miller-2021-1,2021,Tyler-Miller,MIN2021,2958,134,32,101
267,Evan-Bush-2016-1,2016,Evan-Bush,MTL2016,3166,155,50,101
268,Elliot-Panicco-2022-1,2022,Elliot-Panicco,NSH2022,194,10,3,7
269,Jesse-Gonzalez-2020-1,2020,Jesse-Gonzalez,FCD2020,200,5,2,3
270,Evan-Bush-2014-1,2014,Evan-Bush,MTL2014,1262,79,23,52
271,Earl-Edwards-Jr.-2018-1,2018,Earl-Edwards-Jr.,ORL2018,428,26,10,15
272,Pedro-Gallese-2020-1,2020,Pedro-Gallese,ORL2020,1903,72,19,53
273,Chris-Seitz-2017-1,2017,Chris-Seitz,FCD2017,486,20,8,12
274,Brian-Sylvestre-2015-1,2015,Brian-Sylvestre,PHI2015,1157,51,19,31
275,Bobby-Shuttleworth-2015-1,2015,Bobby-Shuttleworth,NER2015,3008,125,41,78
276,Zack-Steffen-2017-1,2017,Zack-Steffen,CLB2017,3303,150,49,98
277,Luis-Barraza-2021-1,2021,Luis-Barraza,NYC2021,505,12,5,7
278,Daniel-Vega-2021-1,2021,Daniel-Vega,SJE2021,99,1,1,0
279,Tyler-Miller-2022-1,2022,Tyler-Miller,MIN2022,245,11,3,8
280,Jimmy-Maurer-2022-1,2022,Jimmy-Maurer,FCD2022,203,8,3,5
281,Brian-Perk-2014-1,2014,Brian-Perk,LAG2014,193,3,1,2
282,Jamal-Blackman-2021-1,2021,Jamal-Blackman,LAFC2021,812,35,13,21
283,Kyle-Reynish-2017-1,2017,Kyle-Reynish,ATL2017,162,5,3,2
284,Marko-Maric-2021-1,2021,Marko-Maric,HOU2021,2188,104,32,68
285,Pablo-Sisniega-2019-1,2019,Pablo-Sisniega,LAFC2019,580,26,8,17
286,Chris-Brady-2023-1,2023,Chris-Brady,CHI2023,2933,138,42,92
287,Stefan-Cleveland-2021-1,2021,Stefan-Cleveland,SEA2021,1494,47,17,29
288,Sean-Johnson-2018-1,2018,Sean-Johnson,NYC2018,3123,141,40,100
289,Milos-Kocic-2013-1,2013,Milos-Kocic,POR2013,195,10,2,7
290,Clément-Diop-2023-1,2023,Clément-Diop,ATL2023,157,7,4,3
291,Eloy-Room-2023-1,2023,Eloy-Room,CLB2023,304,10,3,7
292,Andrew-Dykstra-2016-1,2016,Andrew-Dykstra,DCU2016,101,7,4,3
293,Tyler-Miller-2020-1,2020,Tyler-Miller,MIN2020,499,19,6,13
294,Sean-Johnson-2019-1,2019,Sean-Johnson,NYC2019,2892,116,35,78
295,Steve-Clark-2018-1,2018,Steve-Clark,,936,61,17,44
296,Nick-Marsman-2021-1,2021,Nick-Marsman,MIA2021,2111,101,31,68
297,Luis-López-2018-1,2018,Luis-López,LAFC2018,97,5,2,3
298,Eldin-Jakupovic-2023-1,2023,Eldin-Jakupovic,LAFC2023,201,7,1,6
299,Jonathan-Klinsmann-2021-1,2021,Jonathan-Klinsmann,LAG2021,293,11,4,7
300,Raúl-Gudiño-2022-1,2022,Raúl-Gudiño,ATL2022,555,17,7,7
301,Chris-Seitz-2014-1,2014,Chris-Seitz,FCD2014,1302,65,18,42
302,Jeff-Attinella-2013-1,2013,Jeff-Attinella,RSL2013,447,24,9,14
303,Stefan-Marinovic-2017-1,2017,Stefan-Marinovic,VAN2017,493,27,5,21
304,Zac-MacMath-2017-1,2017,Zac-MacMath,COL2017,872,40,12,27
305,Sean-Johnson-2017-1,2017,Sean-Johnson,NYC2017,3104,137,39,96
306,JT-Marcinkowski-2020-1,2020,JT-Marcinkowski,SJE2020,1069,39,13,25
307,Spencer-Richey-2017-1,2017,Spencer-Richey,VAN2017,95,3,2,1
308,Andrew-Dykstra-2017-1,2017,Andrew-Dykstra,SKC2017,333,14,4,10
309,Steve-Clark-2020-1,2020,Steve-Clark,POR2020,1978,94,29,64
310,David-Ochoa-2020-1,2020,David-Ochoa,RSL2020,95,6,2,4
311,Brian-Rowe-2019-1,2019,Brian-Rowe,ORL2019,3188,160,47,110
312,Kendall-McIntosh-2022-1,2022,Kendall-McIntosh,SKC2022,190,10,2,8
313,Abraham-Rodriguez-2022-1,2022,Abraham-Rodriguez,COL2022,51,5,3,2
314,Bryan-Meredith-2018-1,2018,Bryan-Meredith,SEA2018,97,6,3,3
315,Eirik-Holmen-Johansen-2017-1,2017,Eirik-Holmen-Johansen,NYC2017,196,7,4,3
316,Andrew-Weber-2015-1,2015,Andrew-Weber,POR2015,95,7,3,4
317,Eloy-Room-2021-1,2021,Eloy-Room,CLB2021,2983,125,39,83
318,John-Pulskamp-2023-1,2023,John-Pulskamp,SKC2023,495,20,7,13
319,Rais-M'bolhi-2015-1,2015,Rais-M'bolhi,PHI2015,494,20,9,10
320,Rais-M'bolhi-2014-1,2014,Rais-M'bolhi,PHI2014,385,13,4,7
