"Date","Time","Home","HG","HxGt","HxGp","Away","AG","AxGt","AxGp","GD","xGDt","xGDp","Final","HxPts","AxPts"
"2023-09-16","18:30 CDT","TOR","1","0.80","0.80","VAN","2","2.28","2.28","-1","-1.48","-1.48","-1","0.42","2.42"
"2023-09-16","18:30 CDT","PHI","2","1.98","2.03","CIN","2","2.73","2.90","0","-0.75","-0.87","0","0.94","1.85"
"2023-09-16","18:30 CDT","ORL","4","1.70","1.71","CLB","3","2.88","3.34","1","-1.19","-1.63","1","0.64","2.21"
"2023-09-16","18:30 CDT","CLT","0","1.46","1.48","DCU","0","1.28","1.29","0","0.18","0.19","0","1.51","1.25"
"2023-09-16","16:00 CDT","ATL","4","1.86","1.86","MIA","2","1.70","1.74","2","0.16","0.12","3","1.47","1.27"
"2023-09-16","14:30 CDT","NYC","0","0.61","0.62","NYRB","0","1.19","1.19","0","-0.58","-0.57","0","0.81","1.88"
"2023-09-10","19:00 CDT","LAG","2","2.31","2.38","STL","2","0.69","0.69","0","1.62","1.69","0","2.57","0.28"
"2023-09-09","21:30 CDT","POR","2","1.91","1.91","LAFC","0","0.76","0.81","2","1.15","1.09","2","2.25","0.53"
"2023-09-09","19:30 CDT","MIN","1","1.78","1.81","NER","1","0.51","0.51","0","1.27","1.30","0","2.30","0.50"
"2023-09-09","18:30 CDT","MIA","3","2.23","2.23","SKC","2","1.27","1.28","1","0.96","0.95","1","2.09","0.71"
"2023-09-09","18:30 CDT","DCU","0","1.72","1.77","SJE","0","0.89","0.91","0","0.83","0.86","0","1.97","0.78"
"2023-09-03","21:00 CDT","LAFC","1","2.37","2.37","MIA","3","1.68","1.68","-2","0.69","0.69","-2","1.80","0.97"
"2023-09-03","18:30 CDT","PHI","4","1.75","1.80","NYRB","1","1.34","1.39","3","0.42","0.40","3","1.74","1.01"
"2023-09-02","21:30 CDT","SJE","1","1.54","1.55","MIN","1","1.37","1.40","0","0.17","0.15","0","1.47","1.30"
"2023-09-02","21:30 CDT","LAG","0","0.59","0.60","HOU","0","0.98","0.98","0","-0.39","-0.38","0","0.96","1.72"
"2023-09-02","21:30 CDT","SEA","2","1.70","1.73","POR","2","1.51","1.73","0","0.19","0.00","0","1.53","1.20"
"2023-09-02","20:30 CDT","RSL","2","1.32","1.32","COL","0","0.24","0.24","2","1.08","1.08","2","2.31","0.43"
