,Date,Home_team_ID,HG,Away_team_ID,AG,Year
151,2023-08-20,HOU2023,5,POR2023,0,2023
152,2023-08-20,CHI2023,1,ORL2023,3,2023
153,2023-08-20,NYRB2023,1,DCU2023,0,2023
154,2023-08-20,CLB2023,3,CIN2023,0,2023
155,2023-08-20,TOR2023,2,MTL2023,2,2023
156,2023-08-20,NYC2023,0,MIN2023,2,2023
157,2023-07-15,POR2023,3,CLB2023,2,2023
158,2023-07-15,SEA2023,0,FCD2023,1,2023
159,2023-07-15,VAN2023,4,LAG2023,2,2023
160,2023-07-15,COL2023,0,HOU2023,0,2023
161,2023-07-15,RSL2023,3,NYRB2023,1,2023
162,2023-07-15,ATX2023,2,SKC2023,1,2023
163,2023-07-15,STL2023,3,MIA2023,0,2023
164,2023-07-15,CIN2023,3,NSH2023,1,2023
165,2023-07-15,CHI2023,1,TOR2023,0,2023
166,2023-07-15,MIN2023,1,LAFC2023,1,2023
167,2023-07-15,MTL2023,2,CLT2023,0,2023
168,2023-07-15,ATL2023,1,ORL2023,2,2023
169,2023-07-15,NER2023,3,DCU2023,0,2023
170,2023-07-15,PHI2023,2,NYC2023,1,2023
171,2023-07-12,LAFC2023,3,STL2023,0,2023
172,2023-07-12,SJE2023,2,SEA2023,0,2023
173,2023-07-12,VAN2023,2,ATX2023,1,2023
174,2023-07-12,CHI2023,3,MTL2023,0,2023
175,2023-07-12,COL2023,0,POR2023,0,2023
176,2023-07-12,HOU2023,0,MIN2023,3,2023
177,2023-07-12,SKC2023,2,RSL2023,2,2023
178,2023-07-12,NSH2023,0,PHI2023,2,2023
179,2023-07-12,NER2023,2,ATL2023,1,2023
180,2023-07-12,NYRB2023,1,CIN2023,2,2023
181,2023-07-08,LAFC2023,1,SJE2023,1,2023
182,2023-07-08,LAG2023,2,PHI2023,1,2023
183,2023-07-08,VAN2023,2,SEA2023,3,2023
184,2023-07-08,RSL2023,4,ORL2023,0,2023
185,2023-07-08,COL2023,2,FCD2023,1,2023
186,2023-07-08,MIN2023,1,ATX2023,4,2023
187,2023-07-08,CHI2023,1,NSH2023,0,2023
188,2023-07-08,HOU2023,2,SKC2023,2,2023
189,2023-07-08,CLT2023,2,CIN2023,2,2023
190,2023-07-08,TOR2023,0,STL2023,1,2023
191,2023-07-08,MTL2023,0,ATL2023,1,2023
192,2023-07-08,CLB2023,1,NYC2023,1,2023
193,2023-07-08,NYRB2023,2,NER2023,1,2023
194,2023-07-08,DCU2023,2,MIA2023,2,2023
195,2023-07-05,NYC2023,1,CLT2023,1,2023
196,2023-07-04,LAG2023,2,LAFC2023,1,2023
197,2023-07-04,FCD2023,0,DCU2023,1,2023
198,2023-07-04,MIA2023,2,CLB2023,2,2023
199,2023-07-04,ORL2023,4,TOR2023,0,2023
200,2023-07-02,ATL2023,2,PHI2023,0,2023
201,2023-07-01,SEA2023,1,HOU2023,0,2023
202,2023-07-01,SJE2023,2,LAG2023,2,2023
203,2023-07-01,MTL2023,0,NYC2023,1,2023
204,2023-07-01,SKC2023,3,VAN2023,0,2023
205,2023-07-01,NSH2023,2,DCU2023,0,2023
206,2023-07-01,STL2023,2,COL2023,0,2023
207,2023-07-01,MIN2023,3,POR2023,1,2023
208,2023-07-01,FCD2023,2,LAFC2023,0,2023
209,2023-07-01,CIN2023,2,NER2023,1,2023
210,2023-07-01,ORL2023,3,CHI2023,1,2023
211,2023-07-01,CLB2023,2,NYRB2023,1,2023
212,2023-07-01,TOR2023,0,RSL2023,1,2023
213,2023-07-01,MIA2023,1,ATX2023,1,2023
214,2023-06-24,SJE2023,1,STL2023,2,2023
215,2023-06-24,SEA2023,0,ORL2023,0,2023
216,2023-06-24,LAFC2023,2,VAN2023,3,2023
217,2023-06-24,POR2023,1,NYC2023,1,2023
218,2023-06-24,ATX2023,3,HOU2023,0,2023
219,2023-06-24,COL2023,0,LAG2023,0,2023
220,2023-06-24,RSL2023,2,MIN2023,2,2023
221,2023-06-24,SKC2023,0,CHI2023,1,2023
222,2023-06-24,CLT2023,0,MTL2023,0,2023
223,2023-06-24,NYRB2023,4,ATL2023,0,2023
224,2023-06-24,DCU2023,3,CIN2023,0,2023
225,2023-06-24,CLB2023,1,NSH2023,0,2023
226,2023-06-24,NER2023,2,TOR2023,1,2023
227,2023-06-24,PHI2023,3,MIA2023,1,2023
228,2023-06-21,ATX2023,3,FCD2023,0,2023
229,2023-06-21,LAFC2023,1,SEA2023,0,2023
230,2023-06-21,POR2023,1,CHI2023,2,2023
231,2023-06-21,LAG2023,2,SKC2023,2,2023
232,2023-06-21,STL2023,1,RSL2023,3,2023
233,2023-06-21,HOU2023,4,SJE2023,1,2023
234,2023-06-21,CIN2023,3,TOR2023,0,2023
235,2023-06-21,ATL2023,2,NYC2023,2,2023
236,2023-06-21,NYRB2023,2,CLT2023,2,2023
237,2023-06-21,MTL2023,1,NSH2023,0,2023
238,2023-06-21,ORL2023,2,PHI2023,2,2023
239,2023-06-17,SJE2023,0,POR2023,0,2023
240,2023-06-17,SKC2023,1,LAFC2023,2,2023
241,2023-06-17,NSH2023,3,STL2023,1,2023
242,2023-06-17,DCU2023,1,RSL2023,2,2023
243,2023-06-17,NER2023,3,ORL2023,1,2023
244,2023-06-17,NYC2023,1,CLB2023,1,2023
245,2023-06-14,LAFC2023,0,HOU2023,1,2023
246,2023-06-11,POR2023,1,FCD2023,0,2023
247,2023-06-11,STL2023,1,LAG2023,1,2023
248,2023-06-10,VAN2023,1,CIN2023,1,2023
249,2023-06-10,SJE2023,2,PHI2023,1,2023
250,2023-06-10,RSL2023,0,NYC2023,0,2023
251,2023-06-10,HOU2023,4,LAFC2023,0,2023
252,2023-06-10,SKC2023,4,ATX2023,1,2023
253,2023-06-10,CHI2023,1,CLB2023,2,2023
254,2023-06-10,ORL2023,2,COL2023,0,2023
255,2023-06-10,TOR2023,1,NSH2023,1,2023
256,2023-06-10,ATL2023,3,DCU2023,1,2023
257,2023-06-10,CLT2023,3,SEA2023,3,2023
258,2023-06-10,NER2023,3,MIA2023,1,2023
259,2023-06-10,MTL2023,4,MIN2023,0,2023
260,2023-06-07,LAFC2023,0,ATL2023,0,2023
261,2023-06-07,FCD2023,2,STL2023,0,2023
262,2023-06-03,VAN2023,1,SKC2023,1,2023
263,2023-06-03,COL2023,0,SJE2023,0,2023
264,2023-06-03,STL2023,3,HOU2023,0,2023
265,2023-06-03,ATX2023,1,RSL2023,2,2023
266,2023-06-03,FCD2023,1,NSH2023,1,2023
267,2023-06-03,MIN2023,1,TOR2023,1,2023
268,2023-06-03,CLB2023,4,CLT2023,2,2023
269,2023-06-03,PHI2023,3,MTL2023,0,2023
270,2023-06-03,MIA2023,1,DCU2023,2,2023
271,2023-06-03,NYRB2023,0,ORL2023,3,2023
272,2023-06-03,CIN2023,1,CHI2023,0,2023
273,2023-06-03,SEA2023,0,POR2023,0,2023
274,2023-06-03,NYC2023,0,NER2023,0,2023
275,2023-05-31,SEA2023,0,SJE2023,1,2023
276,2023-05-31,VAN2023,6,HOU2023,2,2023
277,2023-05-31,SKC2023,2,FCD2023,1,2023
278,2023-05-31,RSL2023,2,LAG2023,3,2023
279,2023-05-31,ATX2023,2,MIN2023,1,2023
280,2023-05-31,MIA2023,0,NYRB2023,1,2023
281,2023-05-31,NYC2023,1,CIN2023,3,2023
282,2023-05-31,DCU2023,2,MTL2023,2,2023
