"","Player","Team","Season","Position","Minutes","Shots","SoT","G","xG","xPlace","G-xG","KeyP","A","xA","A-xA","xG+xA","PA","xPA"
"","Brandon Bye","NER","2023","FB","1832","11","2","2","1.28","-0.22","0.72","19","1","2.21","-1.21","3.48","1.50","0.79"
"","Richie Laryea","TOR","2019","FB","1601","17","4","1","1.96","-0.38","-0.96","10","1","1.52","-0.52","3.48","0.48","1.53"
"","Osvaldo Alonso","SEA","2016","DM","3018","43","11","3","1.94","0.59","1.06","26","3","1.54","1.46","3.48","1.46","1.23"
"","Simon Becher","VAN","2023","ST","731","17","7","4","2.33","1.13","1.67","10","1","1.15","-0.15","3.47","2.29","1.66"
"","Emerson Rodríguez","MIA","2022","W","642","14","9","2","2.78","0.35","-0.78","8","0","0.70","-0.70","3.47","1.68","1.46"
"","Federico Higuaín","MIA","2021","AM","921","15","5","3","1.33","0.38","1.67","25","4","2.15","1.85","3.47","1.27","0.72"
"","Déiber Caicedo","VAN","2022","ST","1066","19","4","1","1.77","-0.40","-0.77","21","2","1.70","0.30","3.47","0.22","1.04"
"","Jacob Peterson","SKC","2014","W","1400","24","10","2","1.53","1.07","0.47","17","1","1.94","-0.94","3.47","0.75","1.17"
"","Stéfano Pinho","ORL","2018","W","715","18","6","2","3.39","-0.36","-1.39","2","0","0.08","-0.08","3.46","2.40","2.60"
"","Xande Silva","ATL","2023","W","687","16","7","2","1.47","-0.43","0.53","12","2","1.99","0.01","3.46","1.01","0.85"
"","Brek Shea","VAN","2018","W","1705","24","9","3","2.06","0.09","0.94","15","2","1.40","0.60","3.46","2.56","1.97"
"","Daniel Steres","LAG","2017","CB","2000","16","5","3","3.35","-0.36","-0.35","2","0","0.10","-0.10","3.46","2.48","2.58"
"","Brandt Bronico","CLT","2023","CM","2869","18","4","1","1.71","-0.31","-0.71","18","1","1.75","-0.75","3.46","0.34","1.06"
"","Lionard Pajoy","DCU","2013","ST","1237","21","5","2","2.56","-0.74","-0.56","9","0","0.89","-0.89","3.45","1.18","1.58"
"","Matko Miljevic","MTL","2022","AM","796","27","9","1","2.43","-0.72","-1.43","16","0","1.01","-1.01","3.45","0.00","1.18"
"","Steven Beitashour","LAFC","2018","FB","2879","9","3","2","1.01","0.19","0.99","25","3","2.44","0.56","3.45","0.91","0.41"
"","Boris Sekulic","CHI","2022","FB","3090","11","1","0","1.10","-0.95","-1.10","29","1","2.34","-1.34","3.45","0.00","0.89"
"","Steve Birnbaum","DCU","2017","CB","2410","24","3","0","2.36","-2.28","-2.36","10","0","1.09","-1.09","3.44","0.00","1.38"
"","William Agada","SKC","2023","ST","786","27","9","3","2.98","0.13","0.02","7","0","0.46","-0.46","3.44","1.20","1.78"
"","Lassi Lappalainen","MTL","2023","FB","1127","18","4","2","1.88","-0.64","0.12","13","3","1.56","1.44","3.44","2.52","1.18"
"","Ronald Matarrita","CIN","2021","FB","2136","17","6","2","0.72","0.91","1.28","23","4","2.72","1.28","3.44","1.50","0.47"
"","Zach Pfeffer","PHI","2015","DM","1071","27","10","2","3.14","0.39","-1.14","4","1","0.30","0.70","3.44","0.68","2.25"
"","Luis Caicedo","NER","2018","CM","2820","35","9","1","1.71","-0.09","-0.71","18","1","1.73","-0.73","3.44","0.71","1.22"
"","Rayan Raveloson","LAG","2021","DM","2105","40","14","5","2.43","2.62","2.57","11","0","1.00","-1.00","3.44","3.49","2.03"
"","Baggio Husidic","LAG","2015","W","2062","21","5","2","2.03","-0.68","-0.03","18","2","1.40","0.60","3.43","0.96","1.13"
"","Jordan Harvey","VAN","2014","FB","3184","17","4","2","1.74","-0.26","0.26","21","0","1.69","-1.69","3.43","0.51","0.99"
"","Tommy McNamara","NER","2022","DM","2670","23","12","4","2.80","-0.17","1.20","10","3","0.63","2.37","3.43","1.55","2.08"
"","Tyler Adams","NYRB","2018","DM","2541","13","1","0","1.21","-0.57","-1.21","15","3","2.21","0.79","3.43","0.00","0.79"
"","Jesús Jiménez","FCD","2023","ST","794","17","7","0","2.81","-0.58","-2.81","5","1","0.61","0.39","3.42","0.00","2.71"
"","Rasmus Schüller","MIN","2018","DM","2775","16","7","1","1.63","0.26","-0.63","24","2","1.79","0.21","3.42","0.53","0.75"
"","Robbie Robinson","MIA","2023","W","383","16","4","1","2.86","-0.61","-1.86","5","0","0.56","-0.56","3.42","1.50","2.37"
"","Juan Agudelo","MIA","2020","ST","934","19","4","3","2.85","-0.80","0.15","4","0","0.56","-0.56","3.41","1.86","1.87"
"","Lucas Esteves","COL","2022","FB","2503","28","7","1","1.42","-0.71","-0.42","17","2","1.99","0.01","3.41","0.79","1.10"
"","Maximiliano Urruti","ATX","2023","ST","1121","23","3","1","3.15","-2.24","-2.15","4","0","0.25","-0.25","3.40","0.30","1.76"
"","Danny Musovski","LAFC","2020","ST","714","20","15","5","3.13","1.65","1.87","4","0","0.27","-0.27","3.40","0.72","0.86"
"","Tesho Akindele","ORL","2022","ST","749","22","6","3","2.63","0.52","0.37","6","0","0.77","-0.77","3.40","0.29","1.75"
"","Jonathan Lewis","COL","2020","W","789","27","10","5","2.91","-0.18","2.09","7","0","0.49","-0.49","3.40","2.56","1.01"
"","Ismael Tajouri-Shradi","NYC","2020","W","768","21","8","3","2.81","-0.26","0.19","12","1","0.59","0.41","3.40","0.81","1.00"
"","Gastón Fernández","POR","2015","AM","801","25","6","2","2.14","-0.16","-0.14","16","1","1.26","-0.26","3.40","0.59","1.24"
"","Andrés Perea","ORL","2021","DM","1946","20","9","2","2.17","0.08","-0.17","13","0","1.22","-1.22","3.40","0.74","1.70"
"","Robin Lod","MIN","2023","AM","977","19","5","0","1.82","0.21","-1.82","12","1","1.57","-0.57","3.39","0.00","1.81"
"","Joe Mason","COL","2018","ST","828","14","8","3","3.08","0.74","-0.08","8","0","0.30","-0.30","3.39","2.12","2.33"
"","Kellyn Acosta","COL","2020","DM","1244","27","11","2","2.72","0.02","-0.72","8","1","0.67","0.33","3.38","0.75","1.60"
"","Deshorn Brown","DCU","2017","ST","851","22","10","2","2.86","-0.44","-0.86","6","0","0.53","-0.53","3.38","0.78","1.52"
"","Braian Cufré","NYC","2023","FB","2072","24","6","2","1.19","-0.04","0.81","22","3","2.20","0.80","3.38","2.12","0.87"
"","Daniel Lovitz","NSH","2022","FB","2878","12","3","1","0.89","-0.37","0.11","31","4","2.49","1.51","3.38","0.55","0.76"
"","Olmes García","RSL","2016","ST","1087","18","8","1","1.63","-0.54","-0.63","14","1","1.75","-0.75","3.38","0.49","1.09"
"","Ben Sweat","NYC","2018","FB","2379","16","4","0","0.92","-0.63","-0.92","25","1","2.46","-1.46","3.38","0.00","0.48"
"","Maikel Chang","RSL","2023","W","1107","14","5","0","0.86","0.34","-0.86","27","4","2.51","1.49","3.38","0.00","0.49"
"","Yannick Djaló","SJE","2014","ST","1210","36","7","3","2.41","-0.76","0.59","17","1","0.97","0.03","3.38","1.13","1.65"
"","Darwin Cerén","ORL","2015","DM","2432","29","7","2","1.63","-0.45","0.37","26","1","1.74","-0.74","3.37","0.45","1.07"
"","Sanna Nyassi","MTL","2013","W","1281","20","9","1","1.49","0.41","-0.49","17","1","1.88","-0.88","3.37","1.05","1.45"
"","Pedro Ribeiro","ORL","2015","ST","801","19","10","2","2.19","0.22","-0.19","6","2","1.18","0.82","3.37","2.41","2.09"
"","Michael Murillo","NYRB","2017","CB","1436","17","7","2","2.44","0.17","-0.44","10","0","0.93","-0.93","3.37","1.19","1.59"
"","Dairon Asprilla","POR","2019","W","626","21","7","2","3.03","0.17","-1.03","3","0","0.34","-0.34","3.37","2.03","2.76"
"","Ercan Kara","ORL","2023","ST","918","23","10","5","2.49","0.73","2.51","7","1","0.88","0.12","3.37","2.20","1.32"
"","Joel Waterman","MTL","2022","CB","2947","12","7","3","2.42","0.46","0.58","8","2","0.94","1.06","3.36","1.14","1.44"
"","David Horst","HOU","2016","CB","2394","21","11","3","3.27","0.82","-0.27","3","0","0.09","-0.09","3.36","1.29","2.65"
"","Ruan","ORL","2022","FB","2658","8","4","2","0.85","0.24","1.15","24","1","2.52","-1.52","3.36","0.64","0.45"
"","Wikelman Carmona","NYRB","2021","W","1357","35","11","1","2.06","-1.03","-1.06","20","1","1.30","-0.30","3.36","0.51","1.77"
"","Santiago Patiño","ORL","2019","ST","391","12","3","2","2.64","-0.67","-0.64","3","1","0.73","0.27","3.36","0.93","2.01"
"","Jay Chapman","TOR","2016","CM","852","12","5","0","1.06","-0.47","-1.06","21","2","2.30","-0.30","3.36","0.00","0.73"
"","Jordon Mutch","VAN","2018","CM","922","12","5","2","1.70","-0.51","0.30","9","2","1.66","0.34","3.36","1.56","1.35"
"","Luis Díaz","CLB","2019","W","883","18","9","2","1.29","0.53","0.71","13","3","2.06","0.94","3.35","0.40","0.83"
"","Ben Sweat","NYC","2017","FB","2344","17","4","1","1.22","-0.32","-0.22","22","5","2.13","2.87","3.35","0.09","0.73"
"","Mauro Díaz","FCD","2013","AM","463","11","6","3","2.28","0.72","0.72","12","2","1.07","0.93","3.35","1.87","1.33"
"","Aaron Schoenfeld","CLB","2014","ST","810","24","11","3","2.96","1.15","0.04","7","1","0.39","0.61","3.35","0.44","1.70"
"","Thomas Edwards","NYRB","2021","CB","2158","12","6","0","0.43","-0.10","-0.43","30","2","2.92","-0.92","3.35","0.00","0.27"
"","Cristian Colmán","FCD","2018","ST","678","21","11","2","2.77","0.21","-0.77","6","0","0.58","-0.58","3.35","1.89","1.77"
"","Cristian Roldan","SEA","2016","DM","2820","30","11","4","2.59","0.70","1.41","17","2","0.76","1.24","3.35","1.02","1.07"
"","Diego Palacios","LAFC","2023","FB","2707","16","3","0","0.68","-0.54","-0.68","28","2","2.67","-0.67","3.35","0.00","0.68"
"","Facundo Farías","MIA","2023","W","923","23","6","3","1.80","0.06","1.20","13","1","1.55","-0.55","3.35","1.50","1.19"
"","Aaron Herrera","RSL","2019","FB","3025","19","5","0","0.67","-0.30","-0.67","27","3","2.67","0.33","3.34","0.00","0.39"
