"","Player","Team","Season","Position","Minutes","Passes","Pass %","xPass %","Score","Per100","Distance","Vertical","Touch %","Games"
"","Érik Correa","CHV","2013","ST","1139","291","76.3%","80.0%","-10.64","-3.66","13.26","-1.66","4.9%","16"
"","Javain Brown","VAN","2023","FB","1938","1099","76.7%","77.7%","-10.65","-0.97","21.96","3.94","8.6%","25"
"","Giles Barnes","HOU, VAN","2016","W","1934","562","68.0%","69.9%","-10.66","-1.90","18.14","2.80","6.5%","24"
"","Khaly Thiam","CHI","2016","DM","1386","603","76.8%","78.5%","-10.67","-1.77","20.56","6.15","7.2%","20"
"","Kei Kamara","SKC","2013","W","1140","478","66.5%","68.8%","-10.67","-2.23","17.15","2.44","7.5%","15"
"","Jason Johnson","CHI","2015","ST","698","211","68.7%","73.8%","-10.71","-5.07","17.83","1.27","2.9%","20"
"","Yordy Reyna","DCU","2021","W","1040","314","74.2%","77.6%","-10.72","-3.41","17.35","2.14","5.4%","18"
"","Matteo Mancosu","MTL","2018","ST","1192","194","65.0%","70.5%","-10.72","-5.52","13.95","-1.72","2.7%","20"
"","Jermaine Taylor","HOU","2013","CB","2296","1010","82.2%","83.2%","-10.73","-1.06","24.66","8.99","8.9%","26"
"","Blas Pérez","FCD","2014","ST","2212","689","66.0%","67.6%","-10.73","-1.56","15.81","3.32","6.0%","29"
"","Tyler Adams","NYRB","2018","DM","2541","1361","76.7%","77.5%","-10.73","-0.79","17.42","6.83","10.7%","27"
"","Wilfrid Kaptoum","NER","2022","DM","1155","525","85.1%","87.2%","-10.73","-2.04","18.70","3.13","5.1%","21"
"","Sal Zizzo","SKC","2014","W","1173","339","71.7%","74.9%","-10.74","-3.17","16.00","-0.82","4.1%","19"
"","Joao Plata","RSL","2018","W","1867","1035","78.1%","79.1%","-10.74","-1.04","20.83","2.13","7.8%","25"
"","Patrick Nyarko","CHI","2013","W","2301","760","68.3%","69.7%","-10.77","-1.42","16.55","5.21","7.9%","30"
"","Graham Zusi","SKC","2014","W","2326","1183","71.8%","72.7%","-10.78","-0.91","22.66","2.19","9.6%","25"
"","Leonardo Jara","DCU","2019","FB","2538","1245","77.8%","78.7%","-10.79","-0.87","19.22","3.43","8.7%","30"
"","George Campbell","MTL","2023","CB","2052","1188","83.1%","84.0%","-10.79","-0.91","21.77","6.33","9.3%","26"
"","Danny Hoesen","SJE","2019","ST","1675","367","71.9%","74.9%","-10.80","-2.94","15.66","1.63","3.0%","30"
"","Adam Moffat","FCD","2014","DM","1256","619","79.0%","80.8%","-10.82","-1.75","19.92","4.95","6.8%","20"
"","Vicente Sánchez","COL","2014","W","1077","435","70.1%","72.6%","-10.85","-2.49","21.35","1.10","5.9%","17"
"","Spencer Richey","CIN","2019","GK","1875","666","67.0%","68.6%","-10.85","-1.63","40.30","31.46","6.7%","19"
"","Robinho","CLB, ORL","2019","W","1445","485","77.9%","80.2%","-10.87","-2.24","14.60","-1.60","5.4%","25"
"","Seth Sinovic","SKC","2013","FB","3018","1612","75.4%","76.1%","-10.87","-0.67","20.56","6.17","10.2%","32"
"","Brian Rodríguez","LAFC","2020","W","1560","559","66.0%","68.0%","-10.87","-1.94","19.60","-1.36","6.8%","19"
"","Fatai Alashe","SJE","2015","DM","2501","950","80.8%","82.0%","-10.88","-1.15","23.15","6.82","8.0%","28"
"","Alejandro Bedoya","PHI","2021","CM","2891","1313","73.7%","74.6%","-10.89","-0.83","16.68","3.00","8.9%","32"
"","Héber","NYC","2020","ST","961","252","74.6%","78.9%","-10.90","-4.32","15.45","-1.28","4.6%","12"
"","Clint Irwin","TOR","2016","GK","1820","562","56.4%","58.4%","-10.91","-1.94","46.07","39.67","5.4%","19"
"","Fatai Alashe","SJE","2016","CM","2493","978","81.2%","82.3%","-10.92","-1.12","20.24","5.33","7.5%","28"
"","Chris Wondolowski","SJE","2013","ST","2826","892","74.4%","75.7%","-10.93","-1.23","16.23","2.00","7.6%","29"
"","Aaron Wheeler","PHI","2014","CB","848","306","71.2%","74.8%","-10.95","-3.58","23.64","12.08","5.1%","15"
"","Christian Ramirez","HOU","2020","ST","749","163","71.2%","77.9%","-10.95","-6.72","15.79","-0.87","2.5%","15"
"","Álvaro Barreal","CIN","2021","W","2384","829","74.8%","76.1%","-10.95","-1.32","20.36","1.83","6.3%","33"
"","Esmir Bajraktarevic","NER","2023","W","551","169","75.7%","82.2%","-10.96","-6.49","16.03","-2.18","3.2%","13"
"","Chad Barrett","SJE","2016","ST","621","211","64.5%","69.7%","-10.99","-5.21","16.68","1.98","2.3%","20"
"","Gustavo Vallecilla","CLB","2023","CB","940","614","82.6%","84.4%","-11.00","-1.79","20.96","7.99","8.3%","12"
"","Corey Baird","HOU","2022","W","1466","371","74.1%","77.1%","-11.00","-2.97","14.93","-0.27","4.1%","23"
"","Tommy McNamara","NYC","2015","W","1426","550","74.4%","76.4%","-11.00","-2.00","17.40","1.31","6.3%","19"
"","Sheanon Williams","PHI","2014","FB","2251","1141","69.3%","70.3%","-11.01","-0.96","21.43","10.17","10.4%","24"
"","Jack Harrison","NYC","2017","W","2934","983","71.3%","72.4%","-11.01","-1.12","18.37","2.88","6.5%","34"
"","Roland Lamah","FCD","2018","W","2026","707","72.1%","73.7%","-11.01","-1.56","17.83","2.73","5.7%","29"
"","Alan Steven Franco","CLT","2022","W","849","312","76.9%","80.5%","-11.02","-3.53","17.18","1.62","6.2%","10"
"","Brek Shea","ORL","2016","FB","2187","921","72.3%","73.5%","-11.04","-1.20","19.64","5.70","7.3%","27"
"","Jacob Peterson","SKC","2015","W","1436","316","68.7%","72.2%","-11.04","-3.49","15.62","-1.02","3.3%","26"
"","Josh Sims","NYRB","2019","W","521","190","66.8%","72.7%","-11.05","-5.81","14.94","-0.35","7.5%","7"
"","Jeff Larentowicz","ATL","2019","DM","1640","766","84.2%","85.7%","-11.06","-1.44","19.08","3.42","5.0%","27"
"","Uri Rosell","SKC","2022","DM","1004","552","86.4%","88.4%","-11.07","-2.00","21.35","3.59","6.1%","18"
"","Brandon Vincent","CHI","2018","FB","3061","1445","74.7%","75.4%","-11.07","-0.77","19.96","5.23","9.1%","32"
"","Aaron Kovar","SEA","2016","W","855","347","72.0%","75.2%","-11.07","-3.19","15.93","-0.48","4.3%","16"
"","J.J. Koval","SJE","2015","CM","821","344","75.9%","79.1%","-11.08","-3.22","21.27","5.02","5.0%","17"
"","Karl Ouimette","MTL","2013","FB","592","246","76.0%","80.5%","-11.09","-4.51","20.91","9.13","8.2%","7"
"","Tomás Romero","LAFC","2021","GK","1799","491","71.7%","74.0%","-11.10","-2.26","36.67","28.51","5.0%","18"
"","Dylan Nealis","NYRB","2022","FB","2016","756","65.7%","67.2%","-11.13","-1.47","20.58","8.81","7.8%","28"
"","Molham Babouli","TOR","2016","ST","732","241","72.2%","76.8%","-11.13","-4.62","16.76","-0.33","3.5%","16"
"","Aaron Maund","RSL","2015","CB","2137","634","73.7%","75.4%","-11.13","-1.76","26.10","13.43","7.0%","22"
"","Zac MacMath","VAN","2019","GK","797","312","69.9%","73.5%","-11.18","-3.58","38.49","28.45","7.3%","8"
"","Ballou Tabla","MTL","2017","W","1248","280","75.7%","79.7%","-11.18","-3.99","16.38","-1.60","4.2%","21"
"","Andrew Brody","RSL","2021","FB","1174","532","73.3%","75.4%","-11.18","-2.10","18.31","2.55","7.3%","16"
"","Adama Diomande","LAFC","2018","ST","1360","261","72.4%","76.7%","-11.20","-4.29","14.92","-0.33","3.9%","18"
"","Collen Warner","TOR","2015","DM","1896","885","82.5%","83.8%","-11.21","-1.27","20.05","5.82","7.1%","29"
"","Alphonso Davies","VAN","2017","W","1165","303","68.3%","72.0%","-11.23","-3.71","16.98","2.94","4.2%","26"
"","Mike da Fonte","COL","2017","FB","1348","532","73.7%","75.8%","-11.24","-2.11","21.79","7.18","7.9%","17"
"","Kemar Lawrence","NYRB","2017","FB","2251","1089","69.7%","70.7%","-11.25","-1.03","19.84","7.68","9.3%","24"
"","Shaun Francis","SJE","2015","FB","1787","806","71.6%","73.0%","-11.25","-1.40","22.13","7.18","8.2%","23"
"","Kevin Molino","MIN","2020","W","1359","651","77.4%","79.1%","-11.25","-1.73","15.34","0.84","8.9%","18"
"","Eric Miller","COL","2016","FB","2283","1111","73.5%","74.6%","-11.25","-1.01","20.24","3.86","8.8%","26"
"","Orji Okwonkwo","MTL","2020","W","558","147","68.0%","75.7%","-11.26","-7.66","18.03","-1.70","3.1%","13"
"","Duncan McGuire","ORL","2023","ST","1535","244","70.5%","75.1%","-11.27","-4.62","13.94","-1.52","2.5%","29"
"","Deshorn Brown","DCU","2017","ST","851","146","69.2%","76.9%","-11.28","-7.72","14.77","-4.19","3.1%","16"
"","Diego Rossi","LAFC","2021","ST","1823","498","79.1%","81.4%","-11.28","-2.26","13.63","0.23","5.9%","19"
"","Bakaye Dibassy","MIN","2020","CB","936","414","75.4%","78.1%","-11.28","-2.73","19.20","6.01","7.6%","11"
"","Alex Muyl","NSH","2021","W","1674","579","76.0%","77.9%","-11.28","-1.95","17.64","3.21","4.6%","32"
"","Alan Pulido","SKC","2023","ST","2395","777","83.4%","84.9%","-11.30","-1.45","15.51","-2.32","6.1%","28"
"","Chance Myers","SKC","2016","FB","615","361","75.1%","78.2%","-11.31","-3.13","18.72","2.91","6.5%","11"
"","Cristian Espinoza","SJE","2020","W","1904","968","72.4%","73.6%","-11.31","-1.17","19.54","-0.77","8.7%","23"
"","Armando Cooper","TOR","2016","CM","420","278","78.1%","82.1%","-11.34","-4.08","17.64","4.39","10.0%","6"
"","Adrien Hunou","MIN","2021","ST","1823","506","77.7%","79.9%","-11.35","-2.24","14.93","-2.18","4.5%","26"
"","Samuel Adeniran","STL","2023","ST","1037","170","57.6%","64.3%","-11.35","-6.68","15.16","-0.31","3.4%","18"
"","Alvas Powell","POR","2017","FB","1856","946","70.3%","71.5%","-11.35","-1.20","22.74","6.93","8.7%","23"
"","Cyle Larin","ORL","2017","ST","2348","354","76.5%","79.8%","-11.35","-3.21","15.56","-2.90","4.7%","28"
"","Víctor Rodríguez","SEA","2018","W","1345","704","76.4%","78.0%","-11.38","-1.62","15.11","2.21","7.9%","19"
"","Emmanuel Más","ORL","2021","FB","790","479","78.5%","80.9%","-11.39","-2.38","18.02","5.57","5.9%","16"
"","Nkosi Burgess","FCD","2023","CB","2779","1579","83.9%","84.6%","-11.39","-0.72","23.73","10.21","10.2%","30"
"","Juan Agudelo","NER, CHV","2013","ST","1526","480","75.0%","77.4%","-11.40","-2.37","13.54","-1.24","6.8%","20"
"","Younes Namli","COL","2021","CM","585","269","76.2%","80.5%","-11.40","-4.24","19.06","5.36","5.4%","11"
"","Pedro Morales","VAN","2014","AM","2747","1905","76.2%","76.8%","-11.42","-0.60","23.23","6.18","11.3%","33"
"","Jayden Nelson","TOR","2022","W","2120","877","81.6%","82.9%","-11.43","-1.30","15.34","0.30","6.3%","31"
"","Giacomo Vrioni","NER","2023","ST","1437","217","72.8%","78.1%","-11.43","-5.27","15.73","-1.93","2.3%","29"
"","Andrés Ricaurte","FCD","2020","AM","1186","839","80.6%","81.9%","-11.45","-1.36","22.96","4.22","11.6%","14"
"","Diego Rubio","COL","2019","AM","2212","696","72.0%","73.6%","-11.45","-1.65","19.18","4.43","8.2%","26"
"","Kemar Lawrence","NYRB","2019","FB","1912","881","68.4%","69.8%","-11.49","-1.30","18.62","7.14","8.6%","22"
"","Christian Ramirez","CLB","2023","ST","1789","364","73.9%","77.1%","-11.49","-3.16","14.03","2.31","2.5%","30"
"","Zachary Brault-Guillard","MTL","2023","FB","1434","631","72.7%","74.6%","-11.50","-1.82","18.61","1.83","5.6%","24"
"","Nani","ORL","2021","W","1993","1077","73.7%","74.8%","-11.50","-1.07","19.03","2.57","7.9%","28"
"","Connor Lade","NYRB","2017","FB","1513","760","72.5%","74.0%","-11.50","-1.51","18.04","6.36","7.2%","21"
"","Cole Grossman","RSL","2014","DM","621","316","79.8%","83.4%","-11.51","-3.64","20.14","5.04","3.6%","17"
"","Khiry Shelton","SKC","2020","W","1590","420","76.4%","79.2%","-11.51","-2.74","14.61","-2.64","5.6%","20"
"","Caden Clark","NYRB","2020","W","299","76","52.6%","67.8%","-11.51","-15.15","15.15","2.74","3.2%","7"
"","Jimmy Medranda","SKC","2016","FB","2103","1114","72.1%","73.1%","-11.52","-1.03","21.95","5.60","8.9%","28"
"","Bobby Burling","COL","2015","CB","2115","632","67.9%","69.7%","-11.53","-1.82","29.32","16.57","7.2%","22"
"","Kemar Lawrence","NYRB","2016","FB","1960","845","65.9%","67.3%","-11.58","-1.37","20.09","8.20","8.2%","21"
"","Shane O'Neill","ORL","2019","CB","936","405","70.4%","73.2%","-11.59","-2.86","22.49","10.00","8.0%","11"
