,Player_ID,Season,Player,TeamID,Position,Minutes,Shots,SoT,G
155,Kacper-Przybylko-2019-1,2019,Kacper-Przybylko,PHI2019,ST,2460,81,37,15
156,Emanuel-Reynoso-2022-1,2022,Emanuel-Reynoso,MIN2022,AM,2718,77,28,10
157,Patryk-Klimala-2021-1,2021,Patryk-Klimala,NYRB2021,ST,2267,96,29,8
158,Yura-Movsisyan-2016-1,2016,Yura-Movsisyan,RSL2016,ST,2316,68,28,9
159,Gyasi-Zardes-2022-1,2022,Gyasi-Zardes,,ST,2499,53,19,10
160,Carlos-Vela-2023-1,2023,Carlos-Vela,LAFC2023,ST,2277,61,25,9
161,Sacha-Kljestan-2016-1,2016,Sacha-Kljestan,NYRB2016,AM,2828,40,19,6
162,Lee-Nguyen-2014-1,2014,Lee-Nguyen,NER2014,CM,2952,83,41,18
163,Ignacio-Piatti-2017-1,2017,Ignacio-Piatti,MTL2017,W,2559,75,38,17
164,Benny-Feilhaber-2015-1,2015,Benny-Feilhaber,SKC2015,CM,2944,48,17,10
165,David-Accam-2017-1,2017,David-Accam,CHI2017,W,2299,66,36,14
166,Gonzalo-Higuaín-2021-1,2021,Gonzalo-Higuaín,MIA2021,ST,2668,82,35,12
167,Jesús-Ferreira-2023-1,2023,Jesús-Ferreira,FCD2023,ST,2505,62,24,12
168,Chris-Wondolowski-2014-1,2014,Chris-Wondolowski,SJE2014,ST,2535,77,36,14
169,Clint-Dempsey-2015-1,2015,Clint-Dempsey,SEA2015,ST,1859,61,27,10
170,Przemyslaw-Frankowski-2019-1,2019,Przemyslaw-Frankowski,CHI2019,W,2529,55,24,5
171,Valeri-Qazaishvili-2018-1,2018,Valeri-Qazaishvili,SJE2018,W,2925,110,35,10
172,Cristian-Espinoza-2019-1,2019,Cristian-Espinoza,SJE2019,W,2742,95,36,2
173,Johnny-Russell-2021-1,2021,Johnny-Russell,SKC2021,W,2446,69,33,15
174,Aleksandar-Katai-2019-1,2019,Aleksandar-Katai,CHI2019,W,2285,105,31,6
175,Sebastian-Giovinco-2017-1,2017,Sebastian-Giovinco,TOR2017,ST,2204,128,52,16
176,Albert-Rusnák-2021-1,2021,Albert-Rusnák,RSL2021,W,3315,65,32,11
177,Marco-Di-Vaio-2014-1,2014,Marco-Di-Vaio,MTL2014,ST,1886,75,32,9
178,Gyasi-Zardes-2014-1,2014,Gyasi-Zardes,LAG2014,ST,2573,74,30,16
179,Djordje-Mihailovic-2021-1,2021,Djordje-Mihailovic,MTL2021,AM,3054,59,15,4
180,Wayne-Rooney-2018-1,2018,Wayne-Rooney,DCU2018,ST,1783,71,31,12
181,Obafemi-Martins-2015-1,2015,Obafemi-Martins,SEA2015,ST,1946,42,28,15
182,Georgios-Giakoumakis-2023-1,2023,Georgios-Giakoumakis,ATL2023,ST,1933,66,31,17
183,Mauro-Díaz-2016-1,2016,Mauro-Díaz,FCD2016,AM,2300,47,14,5
184,Talles-Magno-2022-1,2022,Talles-Magno,NYC2022,W,2886,65,24,7
185,Giovani-dos-Santos-2016-1,2016,Giovani-dos-Santos,LAG2016,AM,2519,63,31,14
186,Federico-Higuaín-2018-1,2018,Federico-Higuaín,CLB2018,AM,2540,52,17,6
187,Diego-Rossi-2020-1,2020,Diego-Rossi,LAFC2020,W,1851,71,34,14
188,Facundo-Torres-2023-1,2023,Facundo-Torres,ORL2023,W,2609,65,26,14
189,Mauro-Díaz-2015-1,2015,Mauro-Díaz,FCD2015,AM,2091,49,17,8
190,Lewis-Morgan-2022-1,2022,Lewis-Morgan,NYRB2022,W,2915,85,32,14
191,Didier-Drogba-2016-1,2016,Didier-Drogba,MTL2016,ST,1778,90,35,10
192,Raúl-Ruidíaz-2019-1,2019,Raúl-Ruidíaz,SEA2019,ST,1955,72,28,11
193,Lee-Nguyen-2016-1,2016,Lee-Nguyen,NER2016,AM,3112,68,29,6
194,Michael-Barrios-2018-1,2018,Michael-Barrios,FCD2018,W,2745,59,29,6
195,Santiago-Rodríguez-2022-1,2022,Santiago-Rodríguez,NYC2022,AM,2730,50,18,4
196,Kevin-Molino-2017-1,2017,Kevin-Molino,MIN2017,W,2687,46,16,7
197,Cristian-Arango-2021-1,2021,Cristian-Arango,LAFC2021,ST,1544,63,32,14
198,Albert-Rusnák-2018-1,2018,Albert-Rusnák,RSL2018,AM,2839,67,29,10
199,Diego-Valeri-2013-1,2013,Diego-Valeri,POR2013,CM,2427,72,26,10
200,Karol-Swiderski-2023-1,2023,Karol-Swiderski,CLT2023,ST,2662,80,27,12
201,Kaká-2015-1,2015,Kaká,ORL2015,AM,2614,56,21,9
202,Marcelino-Moreno-2021-1,2021,Marcelino-Moreno,ATL2021,CM,2799,79,30,9
203,Quincy-Amarikwa-2015-1,2015,Quincy-Amarikwa,,ST,2350,77,24,6
204,Fabian-Espindola-2014-1,2014,Fabian-Espindola,DCU2014,ST,2287,68,31,11
205,Justin-Meram-2016-1,2016,Justin-Meram,CLB2016,W,2751,76,27,5
206,Ignacio-Piatti-2015-1,2015,Ignacio-Piatti,MTL2015,AM,2346,60,29,9
207,David-Accam-2016-1,2016,David-Accam,CHI2016,W,2089,71,28,9
208,Thiago-Almada-2022-1,2022,Thiago-Almada,ATL2022,AM,2622,77,24,6
209,C.J.-Sapong-2021-1,2021,C.J.-Sapong,NSH2021,ST,2349,66,34,12
210,Felipe-Gutiérrez-2019-1,2019,Felipe-Gutiérrez,SKC2019,CM,2959,65,29,12
211,Javier-Morales-2013-1,2013,Javier-Morales,RSL2013,AM,2470,46,18,8
212,Sebastián-Driussi-2023-1,2023,Sebastián-Driussi,ATX2023,AM,2549,76,31,11
213,Daniel-Royer-2018-1,2018,Daniel-Royer,NYRB2018,W,2199,72,32,11
214,Magnus-Eriksson-2019-1,2019,Magnus-Eriksson,SJE2019,AM,3063,88,23,6
215,Federico-Higuaín-2015-1,2015,Federico-Higuaín,CLB2015,AM,2900,73,28,8
216,Felipe-Mora-2021-1,2021,Felipe-Mora,POR2021,ST,2211,65,26,11
217,Luciano-Acosta-2018-1,2018,Luciano-Acosta,DCU2018,AM,2980,60,23,10
218,Chris-Wondolowski-2018-1,2018,Chris-Wondolowski,SJE2018,ST,2501,58,22,10
219,Ethan-Finlay-2015-1,2015,Ethan-Finlay,CLB2015,W,2957,53,28,12
220,Gonzalo-Higuaín-2022-1,2022,Gonzalo-Higuaín,MIA2022,ST,1930,50,20,16
221,Fanendo-Adi-2017-1,2017,Fanendo-Adi,POR2017,ST,2044,66,28,10
222,Andrew-Wenger-2014-1,2014,Andrew-Wenger,,W,2294,66,27,7
223,Albert-Rusnák-2017-1,2017,Albert-Rusnák,RSL2017,AM,2777,85,30,7
224,Alejandro-Pozuelo-2022-1,2022,Alejandro-Pozuelo,,AM,2651,33,20,6
225,Jonathan-Osorio-2018-1,2018,Jonathan-Osorio,TOR2018,CM,2812,33,20,10
226,Johnny-Russell-2019-1,2019,Johnny-Russell,SKC2019,W,2316,56,22,9
227,Xherdan-Shaqiri-2022-1,2022,Xherdan-Shaqiri,CHI2022,AM,2456,51,16,7
228,Mauro-Manotas-2017-1,2017,Mauro-Manotas,HOU2017,W,2246,71,35,10
229,Carlos-Ferreira-2022-1,2022,Carlos-Ferreira,HOU2022,ST,2521,68,26,13
230,Will-Bruin-2014-1,2014,Will-Bruin,HOU2014,ST,2226,68,31,10
231,Landon-Donovan-2013-1,2013,Landon-Donovan,LAG2013,ST,2007,38,19,10
232,Dániel-Sallói-2023-1,2023,Dániel-Sallói,SKC2023,W,3140,74,32,7
233,Fabio-2021-1,2021,Fabio,NYRB2021,ST,2393,86,18,7
234,Luiz-Araújo-2022-1,2022,Luiz-Araújo,ATL2022,W,2382,98,33,4
235,Borek-Dockal-2018-1,2018,Borek-Dockal,PHI2018,AM,2517,44,19,5
236,Maximiliano-Urruti-2017-1,2017,Maximiliano-Urruti,FCD2017,ST,2943,103,39,12
237,Javier-Morales-2015-1,2015,Javier-Morales,RSL2015,CM,2303,50,20,8
238,Ryan-Gauld-2022-1,2022,Ryan-Gauld,VAN2022,AM,2435,75,25,8
239,Alberth-Elis-2017-1,2017,Alberth-Elis,HOU2017,W,1771,71,28,10
240,Kevin-Molino-2016-1,2016,Kevin-Molino,ORL2016,W,2499,59,22,11
241,Alejandro-Romero-Gamarra-2018-1,2018,Alejandro-Romero-Gamarra,NYRB2018,AM,2592,53,23,6
242,Lucas-Zelarayán-2021-1,2021,Lucas-Zelarayán,CLB2021,AM,2882,90,33,12
243,Jordan-Morris-2022-1,2022,Jordan-Morris,SEA2022,W,2500,54,24,7
244,Sacha-Kljestan-2017-1,2017,Sacha-Kljestan,NYRB2017,AM,2796,41,11,2
245,Luciano-Acosta-2021-1,2021,Luciano-Acosta,CIN2021,AM,2967,60,24,7
246,Darwin-Quintero-2020-1,2020,Darwin-Quintero,HOU2020,W,1819,59,24,7
247,Diego-Fagundez-2017-1,2017,Diego-Fagundez,NER2017,CM,2596,72,35,7
248,Cristian-Penilla-2018-1,2018,Cristian-Penilla,NER2018,W,3050,95,38,12
249,Luke-Moore-2014-1,2014,Luke-Moore,,ST,2340,58,23,6
250,Robert-Beric-2021-1,2021,Robert-Beric,CHI2021,ST,2369,78,27,8
251,Miguel-Ibarra-2018-1,2018,Miguel-Ibarra,MIN2018,W,2956,37,19,7
252,Teal-Bunbury-2018-1,2018,Teal-Bunbury,NER2018,ST,2755,68,33,11
253,Albert-Rusnák-2019-1,2019,Albert-Rusnák,RSL2019,AM,2666,76,31,10
254,Fafa-Picault-2018-1,2018,Fafa-Picault,PHI2018,W,2378,70,32,10
255,Sacha-Kljestan-2018-1,2018,Sacha-Kljestan,ORL2018,AM,2724,47,17,6
256,Kei-Kamara-2017-1,2017,Kei-Kamara,NER2017,ST,2537,88,35,12
257,Justin-Meram-2017-1,2017,Justin-Meram,CLB2017,W,2747,61,28,13
258,Emanuel-Reynoso-2021-1,2021,Emanuel-Reynoso,MIN2021,AM,2563,97,23,5
259,Lee-Nguyen-2015-1,2015,Lee-Nguyen,NER2015,AM,2898,82,30,7
260,Robert-Beric-2020-1,2020,Robert-Beric,CHI2020,ST,2100,62,29,12
261,Luis-Amarilla-2022-1,2022,Luis-Amarilla,MIN2022,ST,2536,76,26,9
262,Julian-Gressel-2019-1,2019,Julian-Gressel,ATL2019,FB,2902,69,25,6
263,Jermain-Defoe-2014-1,2014,Jermain-Defoe,TOR2014,ST,1655,58,25,11
264,Dominic-Oduro-2013-1,2013,Dominic-Oduro,CLB2013,W,3028,92,36,13
265,Kacper-Przybylko-2020-1,2020,Kacper-Przybylko,PHI2020,ST,2159,54,25,8
266,Fabian-Castillo-2015-1,2015,Fabian-Castillo,FCD2015,W,2733,79,30,9
267,Gilberto-2014-1,2014,Gilberto,TOR2014,ST,2117,73,22,7
268,Santiago-Moreno-2022-1,2022,Santiago-Moreno,POR2022,W,2659,48,21,7
269,Brandon-Vázquez-2023-1,2023,Brandon-Vázquez,CIN2023,ST,2632,69,31,8
270,Ethan-Finlay-2016-1,2016,Ethan-Finlay,CLB2016,W,2640,46,22,6
271,Lloyd-Sam-2014-1,2014,Lloyd-Sam,NYRB2014,W,3051,37,16,4
272,Benny-Feilhaber-2017-1,2017,Benny-Feilhaber,SKC2017,CM,2452,64,20,5
273,Lucas-Zelarayán-2022-1,2022,Lucas-Zelarayán,CLB2022,AM,2550,85,33,10
274,Cristian-Dájome-2021-1,2021,Cristian-Dájome,VAN2021,W,2890,56,21,10
275,Michael-Barrios-2017-1,2017,Michael-Barrios,FCD2017,W,2767,60,18,3
276,Pedro-Santos-2019-1,2019,Pedro-Santos,CLB2019,W,3036,75,21,11
277,Víctor-Vázquez-2017-1,2017,Víctor-Vázquez,TOR2017,CM,2525,41,20,8
278,Danny-Hoesen-2018-1,2018,Danny-Hoesen,SJE2018,ST,2677,83,33,12
279,Cristian-Penilla-2019-1,2019,Cristian-Penilla,NER2019,W,1953,58,20,6
280,Yordy-Reyna-2018-1,2018,Yordy-Reyna,VAN2018,ST,2042,43,17,6
281,Danny-Hoesen-2019-1,2019,Danny-Hoesen,SJE2019,ST,1675,59,25,5
282,Maximiliano-Urruti-2016-1,2016,Maximiliano-Urruti,FCD2016,ST,2647,91,36,9
283,Amine-Bassi-2023-1,2023,Amine-Bassi,HOU2023,AM,2169,41,17,10
284,Héber-2019-1,2019,Héber,NYC2019,ST,1728,56,26,15
285,Paul-Arriola-2022-1,2022,Paul-Arriola,FCD2022,W,2813,55,22,10
286,Maximiliano-Morález-2017-1,2017,Maximiliano-Morález,NYC2017,CM,2702,44,17,5
287,Fanendo-Adi-2014-1,2014,Fanendo-Adi,POR2014,ST,1624,53,24,9
288,Uriel-Antuna-2019-1,2019,Uriel-Antuna,LAG2019,W,2606,49,18,6
289,Fafa-Picault-2021-1,2021,Fafa-Picault,HOU2021,W,2668,49,20,11
290,Jack-McInerney-2013-1,2013,Jack-McInerney,PHI2013,ST,2373,86,30,12
