,Season,Player,Team,Position,Minutes,Shots,SoT,G,Player_ID,Count
289,2023,Anderson-Julio,RSL,ST,1203,37,21,5,Anderson-Julio-2023-1,1
290,2023,Alan-Velasco,FCD,W,2346,52,18,4,Alan-Velasco-2023-1,1
291,2023,Douglas-Costa,LAG,W,1241,33,9,3,Douglas-Costa-2023-1,1
292,2021,Eduard-Atuesta,LAFC,DM,2350,43,14,2,Eduard-Atuesta-2021-1,1
293,2022,Thiago-Andrade,NYC,W,1625,33,15,5,Thiago-Andrade-2022-1,1
294,2021,Khiry-Shelton,SKC,W,2453,27,11,3,Khiry-Shelton-2021-1,1
295,2021,Alejandro-Bedoya,PHI,CM,2891,36,15,3,Alejandro-Bedoya-2021-1,1
296,2023,Albert-Rusnák,SEA,DM,2800,66,11,4,Albert-Rusnák-2023-1,1
297,2023,Nnamdi-Chinonso-Offor,MTL,ST,1715,37,15,4,Nnamdi-Chinonso-Offor-2023-1,1
298,2022,Cristian-Cásseres-Jr,NYRB,CM,2446,43,13,2,Cristian-Cásseres-Jr-2022-1,1
299,2022,Jonathan-Osorio,TOR,CM,1919,25,12,9,Jonathan-Osorio-2022-1,1
300,2021,Memo-Rodríguez,HOU,W,1700,62,21,2,Memo-Rodríguez-2021-1,1
301,2021,Ismael-Tajouri-Shradi,NYC,W,1334,44,15,7,Ismael-Tajouri-Shradi-2021-1,1
302,2022,Ben-Bender,CLT,CM,1792,25,8,3,Ben-Bender-2022-1,1
303,2022,Lorenzo-Insigne,TOR,W,1018,49,20,6,Lorenzo-Insigne-2022-1,1
304,2021,Gyasi-Zardes,CLB,ST,1683,35,17,9,Gyasi-Zardes-2021-1,1
305,2021,Luiz-Araújo,ATL,W,1214,47,18,4,Luiz-Araújo-2021-1,1
306,2023,Gyasi-Zardes,ATX,ST,1610,30,12,6,Gyasi-Zardes-2023-1,1
307,2022,Thorleifur-Úlfarsson,HOU,W,1377,38,16,4,Thorleifur-Úlfarsson-2022-1,1
308,2023,John-Tolkin,NYRB,FB,2557,33,9,2,John-Tolkin-2023-1,1
309,2023,Yaw-Yeboah,CLB,FB,2204,30,12,3,Yaw-Yeboah-2023-1,1
310,2022,Álvaro-Barreal,CIN,FB,2406,48,24,5,Álvaro-Barreal-2022-1,1
311,2022,Ethan-Finlay,ATX,W,2006,23,8,5,Ethan-Finlay-2022-1,1
312,2023,Enzo-Copetti,CLT,ST,2102,35,16,6,Enzo-Copetti-2023-1,1
313,2022,Samuel-Grandsir,LAG,W,1787,36,19,3,Samuel-Grandsir-2022-1,1
314,2021,Aaron-Herrera,RSL,FB,2733,23,6,1,Aaron-Herrera-2021-1,1
315,2023,Mauricio-Pereyra,ORL,AM,2246,16,4,0,Mauricio-Pereyra-2023-1,1
316,2021,Miguel-Berry,CLB,ST,931,27,17,8,Miguel-Berry-2021-1,1
317,2022,Franco-Jara,FCD,ST,1078,38,11,3,Franco-Jara-2022-1,1
318,2022,Andrew-Gutman,ATL,FB,2162,31,14,4,Andrew-Gutman-2022-1,1
319,2023,Teal-Bunbury,NSH,ST,1793,41,8,3,Teal-Bunbury-2023-1,1
320,2021,Griffin-Dorsey,HOU,W,1612,27,7,2,Griffin-Dorsey-2021-1,1
321,2022,Kellyn-Acosta,LAFC,CM,2824,32,9,2,Kellyn-Acosta-2022-1,1
322,2021,Jacob-Shaffelburg,TOR,W,1083,31,14,3,Jacob-Shaffelburg-2021-1,1
323,2021,Álvaro-Barreal,CIN,W,2384,55,13,3,Álvaro-Barreal-2021-1,1
324,2023,Pedro-Vite,VAN,CM,2271,28,10,4,Pedro-Vite-2023-1,1
325,2021,Chris-Mueller,ORL,W,1797,36,11,3,Chris-Mueller-2021-1,1
326,2023,Aaron-Salem-Boupendza,CIN,ST,669,28,16,5,Aaron-Salem-Boupendza-2023-1,1
327,2023,Billy-Sharp,LAG,ST,746,23,14,6,Billy-Sharp-2023-1,1
328,2023,Mateusz-Bogusz,LAFC,CM,1845,58,25,3,Mateusz-Bogusz-2023-1,1
329,2023,Gustavo-Bou,NER,ST,1270,50,17,5,Gustavo-Bou-2023-1,1
330,2023,Kei-Kamara,CHI,ST,1665,49,22,5,Kei-Kamara-2023-1,1
331,2022,Omir-Fernandez,NYRB,AM,1573,24,7,2,Omir-Fernandez-2022-1,1
332,2023,Adalberto-Carrasquilla,HOU,W,2148,34,9,2,Adalberto-Carrasquilla-2023-1,1
333,2021,Ibrahim-Sunusi,MTL,ST,1032,31,13,4,Ibrahim-Sunusi-2021-1,1
334,2023,Kai-Wagner,PHI,FB,2647,13,3,1,Kai-Wagner-2023-1,1
335,2021,Danny-Musovski,LAFC,ST,827,22,11,4,Danny-Musovski-2021-1,1
336,2021,Przemyslaw-Frankowski,CHI,W,1168,27,8,2,Przemyslaw-Frankowski-2021-1,1
337,2023,Stipe-Biuk,LAFC,W,1554,29,12,3,Stipe-Biuk-2023-1,1
338,2023,Raúl-Ruidíaz,SEA,ST,1152,41,20,5,Raúl-Ruidíaz-2023-1,1
339,2023,Klauss,STL,ST,1355,39,19,10,Klauss-2023-1,1
340,2023,Sergio-Santos,CIN,ST,1020,27,10,4,Sergio-Santos-2023-1,1
341,2022,Miguel-Berry,"DCU,-CLB",ST,1822,28,8,2,Miguel-Berry-2022-1,1
342,2023,Jeong-Sang-Bin,MIN,AM,1070,21,7,1,Jeong-Sang-Bin-2023-1,1
343,2023,Cory-Burke,NYRB,ST,1129,33,9,2,Cory-Burke-2023-1,1
344,2023,Danny-Musovski,RSL,ST,1284,25,12,5,Danny-Musovski-2023-1,1
345,2021,Latif-Blessing,LAFC,CM,2434,24,9,2,Latif-Blessing-2021-1,1
346,2023,Ibrahim-Aliyu,HOU,ST,1331,20,10,3,Ibrahim-Aliyu-2023-1,1
347,2022,Luquinhas,NYRB,AM,2140,34,11,5,Luquinhas-2022-1,1
348,2023,Ariel-Lassiter,"MTL,-MIA",FB,1827,42,19,1,Ariel-Lassiter-2023-1,1
349,2021,Brandon-Vázquez,CIN,ST,995,26,11,4,Brandon-Vázquez-2021-1,1
350,2023,Cole-Bassett,COL,AM,1965,36,13,6,Cole-Bassett-2023-1,1
351,2022,Joaquín-Torres,MTL,AM,1464,26,11,3,Joaquín-Torres-2022-1,1
352,2023,Jared-Stroud,STL,W,2090,43,17,5,Jared-Stroud-2023-1,1
353,2021,Robbie-Robinson,MIA,W,1468,36,13,4,Robbie-Robinson-2021-1,1
354,2023,Luquinhas,NYRB,W,2085,38,13,3,Luquinhas-2023-1,1
355,2022,Cristian-Dájome,VAN,FB,1966,38,12,2,Cristian-Dájome-2022-1,1
356,2021,Mark-Anthony-Kaye,"COL,-LAFC",CM,1989,27,10,1,Mark-Anthony-Kaye-2021-1,1
357,2022,Victor-Wanyama,MTL,CM,2913,36,6,1,Victor-Wanyama-2022-1,1
358,2021,Omir-Fernandez,NYRB,W,894,21,10,3,Omir-Fernandez-2021-1,1
359,2022,Brian-Gutierrez,CHI,W,1803,27,8,2,Brian-Gutierrez-2022-1,1
360,2022,Tom-Barlow,NYRB,ST,1255,23,10,4,Tom-Barlow-2022-1,1
361,2023,Taxiarchis-Fountas,DCU,ST,1233,52,21,6,Taxiarchis-Fountas-2023-1,1
362,2023,Jonathan-Osorio,TOR,CM,1967,12,7,4,Jonathan-Osorio-2023-1,1
363,2021,Mason-Toye,MTL,ST,987,24,14,7,Mason-Toye-2021-1,1
364,2021,Jack-Price,COL,CM,2762,13,4,0,Jack-Price-2021-1,1
365,2023,Cameron-Harper,NYRB,FB,2356,31,9,2,Cameron-Harper-2023-1,1
366,2021,Hassani-Dotson,MIN,W,2619,51,13,2,Hassani-Dotson-2021-1,1
367,2023,Monsef-Bakrar,NYC,ST,710,27,9,3,Monsef-Bakrar-2023-1,1
368,2023,Ethan-Finlay,ATX,W,1811,25,10,5,Ethan-Finlay-2023-1,1
369,2023,Felipe-Mora,POR,ST,804,23,10,5,Felipe-Mora-2023-1,1
370,2023,Fafa-Picault,NSH,W,1679,33,16,5,Fafa-Picault-2023-1,1
371,2023,Franco-Fragapane,MIN,W,1358,19,9,1,Franco-Fragapane-2023-1,1
372,2023,Luiz-Araújo,ATL,W,1390,41,12,3,Luiz-Araújo-2023-1,1
373,2021,Teal-Bunbury,NER,ST,1286,31,12,3,Teal-Bunbury-2021-1,1
374,2021,Jon-Gallagher,ATX,W,1422,24,9,3,Jon-Gallagher-2021-1,1
375,2023,José-Cifuentes,LAFC,CM,1526,29,4,1,José-Cifuentes-2023-1,1
376,2022,Douglas-Costa,LAG,W,1559,45,16,4,Douglas-Costa-2022-1,1
377,2023,Dairon-Asprilla,POR,W,1565,35,9,5,Dairon-Asprilla-2023-1,1
378,2023,Cristhian-Paredes,POR,DM,2036,24,6,2,Cristhian-Paredes-2023-1,1
379,2022,Sebastian-Lletget,"NER,-FCD",CM,2424,35,15,3,Sebastian-Lletget-2022-1,1
380,2023,Fabian-Herbers,CHI,DM,2105,24,10,4,Fabian-Herbers-2023-1,1
381,2021,Ryan-Hollingshead,FCD,FB,2915,26,8,3,Ryan-Hollingshead-2021-1,1
382,2023,Preston-Judd,LAG,ST,730,30,10,3,Preston-Judd-2023-1,1
383,2021,Ethan-Finlay,MIN,W,1879,28,10,3,Ethan-Finlay-2021-1,1
384,2023,Jacen-Russel-Rowe,CLB,ST,627,17,9,4,Jacen-Russel-Rowe-2023-1,1
385,2021,Alexander-Ring,ATX,DM,2963,40,14,4,Alexander-Ring-2021-1,1
386,2021,Sebastian-Lletget,LAG,W,1995,24,6,3,Sebastian-Lletget-2021-1,1
387,2021,Jared-Stroud,ATX,W,1278,26,8,1,Jared-Stroud-2021-1,1
388,2021,Jhonder-Cádiz,NSH,ST,787,28,9,2,Jhonder-Cádiz-2021-1,1
389,2023,Emmanuel-Boateng,NER,W,1594,17,6,2,Emmanuel-Boateng-2023-1,1
390,2023,Aidan-Morris,CLB,CM,2764,27,11,4,Aidan-Morris-2023-1,1
391,2021,Júnior-Urso,ORL,DM,2719,47,14,4,Júnior-Urso-2021-1,1
392,2021,Brad-Smith,SEA,FB,1763,21,5,3,Brad-Smith-2021-1,1
393,2021,George-Bello,ATL,FB,2671,29,9,1,George-Bello-2021-1,1
394,2022,Orrin-McKinze-Gaines-II,CLT,W,1197,15,8,1,Orrin-McKinze-Gaines-II-2022-1,1
395,2021,Lucas-Cavallini,VAN,ST,1367,34,14,3,Lucas-Cavallini-2021-1,1
396,2021,Efrain-Álvarez,LAG,W,1362,36,9,2,Efrain-Álvarez-2021-1,1
397,2021,Carlos-Fierro,SJE,W,1309,24,9,3,Carlos-Fierro-2021-1,1
398,2023,Jon-Gallagher,ATX,FB,3030,25,9,5,Jon-Gallagher-2023-1,1
399,2021,Silvester-van-der-Water,ORL,W,1114,27,8,3,Silvester-van-der-Water-2021-1,1
400,2023,Keaton-Parks,NYC,CM,2731,40,16,2,Keaton-Parks-2023-1,1
401,2022,Walker-Zimmerman,NSH,CB,2784,29,14,4,Walker-Zimmerman-2022-1,1
402,2021,Nigel-Robertha,DCU,ST,1042,25,13,4,Nigel-Robertha-2021-1,1
403,2021,Daniel-Lovitz,NSH,FB,2514,13,2,0,Daniel-Lovitz-2021-1,1
404,2022,Cade-Cowell,SJE,W,1697,43,14,3,Cade-Cowell-2022-1,1
405,2022,Felipe-Hernandez,SKC,CM,1959,34,7,2,Felipe-Hernandez-2022-1,1
406,2021,Mark-Delgado,TOR,DM,2590,17,8,3,Mark-Delgado-2021-1,1
407,2023,Jamiro-Monteiro,SJE,CM,2254,30,9,1,Jamiro-Monteiro-2023-1,1
408,2021,Caden-Clark,NYRB,W,1646,23,9,4,Caden-Clark-2021-1,1
409,2021,Jonathan-Osorio,TOR,CM,1783,17,6,4,Jonathan-Osorio-2021-1,1
410,2023,Justin-Meram,"RSL,-CLT",W,1671,23,12,4,Justin-Meram-2023-1,1
411,2022,Michael-Estrada,DCU,ST,953,15,5,4,Michael-Estrada-2022-1,1
412,2021,Rodolfo-Pizarro,MIA,AM,1838,23,9,3,Rodolfo-Pizarro-2021-1,1
413,2023,Mark-Delgado,LAG,CM,2571,21,5,2,Mark-Delgado-2023-1,1
414,2022,Jáder-Obrian,FCD,W,1512,23,8,2,Jáder-Obrian-2022-1,1
415,2023,Cristian-Roldan,SEA,W,1253,19,8,3,Cristian-Roldan-2023-1,1
416,2023,Cade-Cowell,SJE,W,1593,39,10,1,Cade-Cowell-2023-1,1
417,2022,Jean-Mota,MIA,DM,2882,52,11,2,Jean-Mota-2022-1,1
418,2022,Dom-Dwyer,ATL,ST,729,21,7,4,Dom-Dwyer-2022-1,1
419,2023,Samuel-Adeniran,STL,ST,1016,34,13,8,Samuel-Adeniran-2023-1,1
420,2023,Kerwin-Calderón-Vargas,CLT,W,1564,32,12,3,Kerwin-Calderón-Vargas-2023-1,1
421,2021,Kai-Wagner,PHI,FB,3139,33,7,3,Kai-Wagner-2021-1,1
422,2022,Teal-Bunbury,NSH,ST,747,27,12,5,Teal-Bunbury-2022-1,1
423,2022,Corey-Baird,HOU,W,1466,16,7,2,Corey-Baird-2022-1,1
424,2021,Zachary-Brault-Guillard,MTL,FB,2243,17,5,2,Zachary-Brault-Guillard-2021-1,1
425,2022,Adam-Buksa,NER,ST,888,34,15,7,Adam-Buksa-2022-1,1
426,2023,Iván-Franco,HOU,W,1242,27,12,3,Iván-Franco-2023-1,1
427,2023,Juan-Mosquera,POR,FB,2581,25,11,2,Juan-Mosquera-2023-1,1
428,2021,Santiago-Rodríguez,NYC,W,1092,26,10,3,Santiago-Rodríguez-2021-1,1
429,2021,Brian-Rodríguez,LAFC,ST,1123,24,11,4,Brian-Rodríguez-2021-1,1
430,2023,Santiago-Arias,CIN,FB,1830,23,11,2,Santiago-Arias-2023-1,1
431,2023,Dominique-Badji,CIN,ST,969,18,10,4,Dominique-Badji-2023-1,1
432,2022,Brian-Rodríguez,LAFC,W,895,28,10,2,Brian-Rodríguez-2022-1,1
433,2023,Bryce-Duke,"MIA,-MTL",AM,2065,28,10,2,Bryce-Duke-2023-1,1
434,2022,Andre-Shinyashiki,"COL,-CLT",W,1226,34,17,7,Andre-Shinyashiki-2022-1,1
435,2023,Cristian-Arango,RSL,ST,808,26,14,6,Cristian-Arango-2023-1,1
436,2021,Cory-Burke,PHI,ST,1059,29,10,4,Cory-Burke-2021-1,1
437,2023,Alejandro-Bedoya,PHI,CM,2107,28,11,0,Alejandro-Bedoya-2023-1,1
438,2021,Bjørn-Maars-Johnsen,MTL,ST,1028,26,12,2,Bjørn-Maars-Johnsen-2021-1,1
439,2022,Alex-Muyl,NSH,FB,2208,28,10,2,Alex-Muyl-2022-1,1
440,2022,Diego-Palacios,LAFC,FB,2669,14,5,1,Diego-Palacios-2022-1,1
441,2022,Luis-Díaz,CLB,W,1668,18,7,3,Luis-Díaz-2022-1,1
442,2022,Adalberto-Carrasquilla,HOU,DM,2659,29,6,2,Adalberto-Carrasquilla-2022-1,1
443,2021,Jimmy-Medranda,SEA,FB,1406,24,6,4,Jimmy-Medranda-2021-1,1
444,2021,Boris-Sekulic,CHI,FB,2514,12,5,2,Boris-Sekulic-2021-1,1
445,2022,Denis-Bouanga,LAFC,W,556,26,8,1,Denis-Bouanga-2022-1,1
446,2023,Diego-Rubio,COL,AM,1184,31,15,3,Diego-Rubio-2023-1,1
447,2023,Diego-Fagundez,"LAG,-ATX",W,1684,24,10,3,Diego-Fagundez-2023-1,1
448,2023,Diego-Luna,RSL,W,1226,21,9,4,Diego-Luna-2023-1,1
449,2023,Rubio-Rubín,RSL,ST,1372,28,8,2,Rubio-Rubín-2023-1,1
450,2023,Richie-Laryea,"VAN,-TOR",FB,2696,22,11,3,Richie-Laryea-2023-1,1
451,2022,Mark-Anthony-Kaye,"COL,-TOR",CM,2066,22,10,3,Mark-Anthony-Kaye-2022-1,1
452,2021,Raheem-Edwards,LAFC,FB,1557,26,7,0,Raheem-Edwards-2021-1,1
453,2022,Benjamin-Kikanovic,SJE,W,1501,21,6,6,Benjamin-Kikanovic-2022-1,1
454,2023,Deandre-Kerr,TOR,ST,1283,21,11,5,Deandre-Kerr-2023-1,1
455,2022,Cristhian-Paredes,POR,CM,1843,23,8,2,Cristhian-Paredes-2022-1,1
456,2021,Marvin-Loría,POR,W,1233,20,4,2,Marvin-Loría-2021-1,1
457,2023,Dante-Vanzeir,NYRB,ST,845,24,5,2,Dante-Vanzeir-2023-1,1
458,2023,Indiana-Vassilev,STL,CM,2275,34,10,2,Indiana-Vassilev-2023-1,1
459,2022,Alexander-Callens,NYC,CB,2685,25,11,5,Alexander-Callens-2022-1,1
460,2023,Richard-Ledezma,NYC,ST,1325,20,7,0,Richard-Ledezma-2023-1,1
461,2023,Damir-Kreilach,RSL,ST,1459,37,11,4,Damir-Kreilach-2023-1,1
462,2022,Rayan-Raveloson,LAG,CM,1954,33,9,3,Rayan-Raveloson-2022-1,1
463,2023,Matías-Pellegrini,NYC,W,1297,17,3,1,Matías-Pellegrini-2023-1,1
464,2022,Dominique-Badji,CIN,ST,1217,28,13,0,Dominique-Badji-2022-1,1
465,2023,Cristian-Cásseres-Jr,NYRB,CM,1637,24,10,1,Cristian-Cásseres-Jr-2023-1,1
466,2021,DeJuan-Jones,NER,FB,2767,18,10,3,DeJuan-Jones-2021-1,1
467,2022,Kamil-Jozwiak,CLT,W,1264,18,4,0,Kamil-Jozwiak-2022-1,1
468,2023,Ramiro-Enrique,ORL,ST,1171,35,8,4,Ramiro-Enrique-2023-1,1
469,2023,Luis-Amarilla,MIN,ST,814,22,8,2,Luis-Amarilla-2023-1,1
470,2022,Ayo-Akinola,TOR,ST,1365,26,7,2,Ayo-Akinola-2022-1,1
471,2021,Arnór-Ingvi-Traustason,NER,W,1579,30,9,2,Arnór-Ingvi-Traustason-2021-1,1
472,2021,Ignacio-Aliseda,CHI,W,1733,27,16,4,Ignacio-Aliseda-2021-1,1
473,2021,Julian-Araujo,LAG,FB,3056,14,1,0,Julian-Araujo-2021-1,1
474,2021,Will-Bruin,SEA,ST,1396,24,8,3,Will-Bruin-2021-1,1
475,2022,Julian-Araujo,LAG,FB,3021,14,2,0,Julian-Araujo-2022-1,1
476,2022,Memo-Rodríguez,HOU,W,1656,34,10,0,Memo-Rodríguez-2022-1,1
477,2021,Keaton-Parks,NYC,DM,2645,32,7,4,Keaton-Parks-2021-1,1
478,2023,Nick-Lima,ATX,FB,2631,15,5,1,Nick-Lima-2023-1,1
479,2021,Corey-Baird,"LAFC,-HOU",W,1197,24,13,3,Corey-Baird-2021-1,1
480,2022,Riqui-Puig,LAG,CM,913,26,11,3,Riqui-Puig-2022-1,1
481,2022,Bobby-Wood,RSL,ST,1050,26,12,3,Bobby-Wood-2022-1,1
482,2022,Julio-Cascante,ATX,CB,3011,29,9,3,Julio-Cascante-2022-1,1
483,2021,Benjamin-Kikanovic,SJE,ST,890,20,7,4,Benjamin-Kikanovic-2021-1,1
484,2023,Michael-Barrios,"COL,-LAG",W,1090,23,12,3,Michael-Barrios-2023-1,1
485,2022,Roger-Espinoza,SKC,CM,2013,34,13,2,Roger-Espinoza-2022-1,1
486,2023,Pablo-Ruiz,RSL,CM,1507,28,10,4,Pablo-Ruiz-2023-1,1
487,2022,John-Tolkin,NYRB,FB,3041,33,8,1,John-Tolkin-2022-1,1
488,2023,Benjamin-Cremaschi,MIA,CM,1916,25,7,2,Benjamin-Cremaschi-2023-1,1
489,2021,Edison-Flores,DCU,ST,1060,38,9,2,Edison-Flores-2021-1,1
490,2021,Justin-Meram,RSL,W,1539,26,13,2,Justin-Meram-2021-1,1
491,2021,Nicolas-Benezet,"SEA,-COL",AM,1061,19,11,3,Nicolas-Benezet-2021-1,1
492,2022,Chris-Durkin,DCU,CM,2475,15,4,1,Chris-Durkin-2022-1,1
493,2021,Brandon-Bye,NER,FB,2709,21,7,2,Brandon-Bye-2021-1,1
494,2022,Albert-Rusnák,SEA,DM,2825,42,10,3,Albert-Rusnák-2022-1,1
495,2023,Andrew-Gutman,"ATL,-COL",FB,2556,28,9,4,Andrew-Gutman-2023-1,1
496,2023,Rasmus-Alm,STL,W,1213,13,8,3,Rasmus-Alm-2023-1,1
497,2023,Frankie-Amaya,NYRB,CM,2059,36,9,5,Frankie-Amaya-2023-1,1
498,2023,C.J.-Sapong,"NSH,-TOR",ST,1783,29,5,1,C.J.-Sapong-2023-1,1
499,2023,Sergio-Córdova,VAN,ST,955,19,9,2,Sergio-Córdova-2023-1,1
500,2023,Yuya-Kubo,CIN,CM,1184,25,7,0,Yuya-Kubo-2023-1,1
501,2021,Erik-Hurtado,"MTL,-CLB",ST,663,13,3,0,Erik-Hurtado-2021-1,1
502,2021,Ramón-Ábila,"DCU,-MIN",ST,584,21,11,5,Ramón-Ábila-2021-1,1
503,2022,Andrew-Brody,RSL,FB,3229,15,8,2,Andrew-Brody-2022-1,1
504,2023,João-Paulo,SEA,DM,2580,19,1,0,João-Paulo-2023-1,1
505,2023,Zachary-Brault-Guillard,MTL,FB,1337,14,3,1,Zachary-Brault-Guillard-2023-1,1
506,2021,Nnamdi-Chinonso-Offor,CHI,ST,1473,37,15,1,Nnamdi-Chinonso-Offor-2021-1,1
507,2021,Shea-Salinas,SJE,FB,1559,18,6,0,Shea-Salinas-2021-1,1
508,2022,Emmanuel-Boateng,NER,W,1112,14,6,2,Emmanuel-Boateng-2022-1,1
509,2023,Diego-Rossi,CLB,AM,855,26,11,3,Diego-Rossi-2023-1,1
510,2023,Rándall-Leal,NSH,CM,1208,17,4,3,Rándall-Leal-2023-1,1
511,2023,Jack-Elliott,PHI,CB,3053,31,4,0,Jack-Elliott-2023-1,1
512,2023,Cristian-Olivera,LAFC,W,588,24,12,2,Cristian-Olivera-2023-1,1
513,2021,Graham-Zusi,SKC,FB,2344,20,3,0,Graham-Zusi-2021-1,1
514,2021,Kelyn-Rowe,SEA,CM,2400,27,5,1,Kelyn-Rowe-2021-1,1
515,2022,DeJuan-Jones,NER,FB,2984,19,2,1,DeJuan-Jones-2022-1,1
516,2023,Kacper-Przybylko,CHI,ST,1105,21,9,4,Kacper-Przybylko-2023-1,1
517,2023,Aziel-Jackson,STL,AM,1144,27,12,1,Aziel-Jackson-2023-1,1
518,2023,Chris-Durkin,DCU,CM,2203,20,5,3,Chris-Durkin-2023-1,1
519,2023,Romell-Quioto,MTL,ST,786,21,9,3,Romell-Quioto-2023-1,1
520,2022,Christian-Benteke,DCU,ST,605,24,8,1,Christian-Benteke-2022-1,1
521,2023,Ruan,DCU,FB,1579,9,2,0,Ruan-2023-1,1
522,2023,Gadi-Kinda,SKC,CM,943,14,6,3,Gadi-Kinda-2023-1,1
523,2022,Víctor-Vázquez,LAG,ST,1270,21,5,2,Víctor-Vázquez-2022-1,1
524,2021,Alex-Muyl,NSH,W,1674,22,6,3,Alex-Muyl-2021-1,1
525,2022,Bryce-Duke,MIA,AM,1642,15,4,1,Bryce-Duke-2022-1,1
526,2023,Georgios-Koutsias,CHI,ST,1088,16,6,3,Georgios-Koutsias-2023-1,1
527,2023,Daniel-Lovitz,NSH,FB,3026,19,3,0,Daniel-Lovitz-2023-1,1
528,2022,Dax-McCarty,NSH,DM,1946,16,2,0,Dax-McCarty-2022-1,1
529,2021,Thiago-Andrade,NYC,W,1077,26,10,4,Thiago-Andrade-2021-1,1
530,2021,Richie-Laryea,TOR,FB,2487,26,11,3,Richie-Laryea-2021-1,1
531,2023,Lionel-Messi,MIA,ST,312,17,6,1,Lionel-Messi-2023-1,1
532,2021,Tommy-McNamara,NER,CM,2126,28,9,2,Tommy-McNamara-2021-1,1
533,2021,Yordy-Reyna,DCU,W,1040,29,14,4,Yordy-Reyna-2021-1,1
534,2023,Bryan-Acosta,"POR,-COL",CM,1750,16,5,0,Bryan-Acosta-2023-1,1
535,2022,Alistair-Johnston,MTL,FB,2929,14,5,4,Alistair-Johnston-2022-1,1
536,2021,Fabian-Herbers,CHI,CM,1978,35,7,0,Fabian-Herbers-2021-1,1
537,2022,Ryan-Hollingshead,LAFC,FB,2161,23,11,6,Ryan-Hollingshead-2022-1,1
538,2021,Tyler-Pasher,HOU,W,935,12,7,4,Tyler-Pasher-2021-1,1
539,2022,Benji-Michel,ORL,W,1676,25,8,1,Benji-Michel-2022-1,1
540,2023,Célio-Pompeu,STL,W,1111,22,7,1,Célio-Pompeu-2023-1,1
541,2022,Pedro-Vite,VAN,AM,1324,14,4,2,Pedro-Vite-2022-1,1
542,2021,Andrés-Ricaurte,FCD,AM,1135,16,5,1,Andrés-Ricaurte-2021-1,1
543,2021,Matías-Vera,HOU,CM,2678,22,9,3,Matías-Vera-2021-1,1
544,2022,Kamal-Miller,MTL,CB,2536,24,8,2,Kamal-Miller-2022-1,1
545,2023,Kevin-Cabral,COL,ST,1283,17,11,2,Kevin-Cabral-2023-1,1
546,2023,Kyle-Duncan,NYRB,FB,1978,13,4,0,Kyle-Duncan-2023-1,1
547,2021,Roger-Espinoza,SKC,CM,2272,26,6,0,Roger-Espinoza-2021-1,1
548,2022,Yordy-Reyna,CLT,W,933,23,11,3,Yordy-Reyna-2022-1,1
549,2023,Gastón-Brugman,LAG,DM,2102,28,8,2,Gastón-Brugman-2023-1,1
550,2022,Pedro-Santos,CLB,FB,2570,21,4,1,Pedro-Santos-2022-1,1
551,2021,Jackson-Yueill,SJE,DM,2818,25,10,3,Jackson-Yueill-2021-1,1
552,2023,Kamil-Jozwiak,CLT,W,1481,12,4,2,Kamil-Jozwiak-2023-1,1
553,2021,Zan-Kolmanic,ATX,FB,2327,11,3,0,Zan-Kolmanic-2021-1,1
554,2021,Gudmundur-Thórarinsson,NYC,FB,1760,16,7,2,Gudmundur-Thórarinsson-2021-1,1
555,2023,Mohamed-Farsi,CLB,FB,2423,8,3,0,Mohamed-Farsi-2023-1,1
556,2022,Bill-Tuiloma,POR,CB,2532,47,12,6,Bill-Tuiloma-2022-1,1
557,2022,Yaw-Yeboah,CLB,W,891,18,5,0,Yaw-Yeboah-2022-1,1
558,2023,Chicharito,LAG,ST,751,24,10,1,Chicharito-2023-1,1
559,2021,Ruan,ORL,FB,2070,9,5,2,Ruan-2021-1,1
560,2022,Deandre-Kerr,TOR,W,1435,22,6,3,Deandre-Kerr-2022-1,1
561,2023,Rafael-Czichos,CHI,CB,2722,16,8,2,Rafael-Czichos-2023-1,1
562,2021,Kyle-Duncan,NYRB,FB,2892,18,6,1,Kyle-Duncan-2021-1,1
563,2023,Jackson-Yueill,SJE,CM,2908,25,6,1,Jackson-Yueill-2023-1,1
564,2021,Anton-Tinnerholm,NYC,FB,2209,21,3,0,Anton-Tinnerholm-2021-1,1
565,2021,Romain-Métanire,MIN,FB,2785,11,2,0,Romain-Métanire-2021-1,1
566,2021,Sean-Davis,NYRB,DM,3398,11,4,0,Sean-Davis-2021-1,1
567,2023,Tomás-Chancalay,NER,W,835,36,12,6,Tomás-Chancalay-2023-1,1
568,2021,Walker-Zimmerman,NSH,CB,2227,24,10,3,Walker-Zimmerman-2021-1,1
569,2021,Victor-Wanyama,MTL,CM,2598,31,11,2,Victor-Wanyama-2021-1,1
570,2021,Leon-Flach,PHI,CM,2889,20,4,1,Leon-Flach-2021-1,1
571,2022,Latif-Blessing,LAFC,CM,1503,16,4,0,Latif-Blessing-2022-1,1
572,2022,Dave-Romney,NSH,CB,2907,19,5,3,Dave-Romney-2022-1,1
573,2023,Nelson-Quiñones,HOU,W,1535,24,11,4,Nelson-Quiñones-2023-1,1
574,2023,Tomas-Ostrak,STL,W,1285,32,12,3,Tomas-Ostrak-2023-1,1
575,2022,Cameron-Duke,SKC,CM,1361,12,2,0,Cameron-Duke-2022-1,1
576,2022,Bryan-Acosta,COL,DM,2084,12,1,0,Bryan-Acosta-2022-1,1
