,Season,Player,Team,Position,Minutes,Shots,SoT,G,Player_ID,Count
26,2022,Diego-Rubio,COL,AM,2670,93,39,16,Diego-Rubio-2022-1,1
27,2022,Taty-Castellanos,NYC,ST,1653,81,33,13,Taty-Castellanos-2022-1,1
28,2022,Carlos-Vela,LAFC,W,2528,61,26,12,Carlos-Vela-2022-1,1
29,2023,Bongokuhle-Hlongwane,MIN,W,2688,85,36,8,Bongokuhle-Hlongwane-2023-1,1
30,2021,Dániel-Sallói,SKC,W,2682,86,38,16,Dániel-Sallói-2021-1,1
31,2022,Julián-Carranza,PHI,ST,2379,90,36,14,Julián-Carranza-2022-1,1
32,2021,Raúl-Ruidíaz,SEA,ST,2362,91,38,17,Raúl-Ruidíaz-2021-1,1
33,2021,Damir-Kreilach,RSL,ST,3138,74,39,16,Damir-Kreilach-2021-1,1
34,2022,Jesús-Ferreira,FCD,ST,2913,82,43,18,Jesús-Ferreira-2022-1,1
35,2023,Carles-Gil,NER,AM,2789,72,29,11,Carles-Gil-2023-1,1
36,2022,Brenner,CIN,ST,2236,77,34,18,Brenner-2022-1,1
37,2022,Cristian-Espinoza,SJE,W,3054,73,25,7,Cristian-Espinoza-2022-1,1
38,2021,Chicharito,LAG,ST,1882,59,32,17,Chicharito-2021-1,1
39,2021,Maximiliano-Morález,NYC,AM,2616,64,23,3,Maximiliano-Morález-2021-1,1
40,2022,Emanuel-Reynoso,MIN,AM,2718,77,28,10,Emanuel-Reynoso-2022-1,1
41,2021,Patryk-Klimala,NYRB,ST,2267,96,29,8,Patryk-Klimala-2021-1,1
42,2022,Gyasi-Zardes,"CLB,-COL",ST,2499,53,19,10,Gyasi-Zardes-2022-1,1
43,2021,Gonzalo-Higuaín,MIA,ST,2668,82,35,12,Gonzalo-Higuaín-2021-1,1
44,2023,Carlos-Vela,LAFC,ST,2186,59,24,9,Carlos-Vela-2023-1,1
45,2021,Johnny-Russell,SKC,W,2446,69,33,15,Johnny-Russell-2021-1,1
46,2021,Albert-Rusnák,RSL,W,3315,65,32,11,Albert-Rusnák-2021-1,1
47,2021,Djordje-Mihailovic,MTL,AM,3054,59,15,4,Djordje-Mihailovic-2021-1,1
48,2023,Julián-Carranza,PHI,ST,2667,80,31,13,Julián-Carranza-2023-1,1
49,2022,Talles-Magno,NYC,W,2886,65,24,7,Talles-Magno-2022-1,1
50,2023,Facundo-Torres,ORL,W,2609,65,26,14,Facundo-Torres-2023-1,1
51,2022,Lewis-Morgan,NYRB,W,2915,85,32,14,Lewis-Morgan-2022-1,1
52,2022,Santiago-Rodríguez,NYC,AM,2730,50,18,4,Santiago-Rodríguez-2022-1,1
53,2021,Cristian-Arango,LAFC,ST,1544,63,32,14,Cristian-Arango-2021-1,1
54,2023,Jesús-Ferreira,FCD,ST,2404,58,22,12,Jesús-Ferreira-2023-1,1
