"","Player","Team","Season","Position","Minutes","Shots","SoT","G","xG","xPlace","G-xG","KeyP","A","xA","A-xA","xG+xA","PA","xPA"
"","Anthony Markanich","COL, STL","2023","FB","1049","13","2","1","1.37","-0.71","-0.37","9","0","1.47","-1.47","2.84","0.21","1.08"
"","Gareth Bale","LAFC","2022","W","425","17","7","2","2.30","-0.62","-0.30","6","0","0.53","-0.53","2.83","0.03","1.44"
"","Caleb Wiley","ATL","2023","FB","2472","10","5","4","1.42","0.40","2.58","20","3","1.41","1.59","2.82","1.67","0.64"
"","Mathías Laborda","VAN","2023","CB","1694","15","4","1","1.70","-1.01","-0.70","10","0","1.12","-1.12","2.82","0.40","0.86"
"","Marinos Tzionis","SKC","2022","W","912","22","8","1","1.79","-0.28","-0.79","8","0","1.03","-1.03","2.82","0.05","1.36"
"","Olivier Mbaizo","PHI","2022","FB","1450","5","2","0","0.12","0.28","-0.12","13","2","2.70","-0.70","2.81","0.00","0.10"
"","Mathieu Choinière","MTL","2021","FB","2123","17","6","2","1.23","0.52","0.77","16","0","1.58","-1.58","2.81","1.02","0.81"
"","Calegari","LAG","2023","FB","2114","11","3","0","0.65","-0.18","-0.65","21","1","2.15","-1.15","2.81","0.00","0.50"
"","Luke Haakenson","NSH","2021","W","430","12","6","2","2.18","-0.21","-0.18","6","0","0.61","-0.61","2.80","1.58","1.92"
"","Ahmed Hamdi","MTL","2021","CM","994","17","5","2","1.59","-0.55","0.41","11","0","1.20","-1.20","2.79","1.39","0.98"
"","Brandon Servania","TOR","2023","CM","1845","18","6","1","1.16","0.26","-0.16","20","1","1.63","-0.63","2.79","1.99","1.13"
"","Jayden Nelson","TOR","2022","W","2120","29","9","1","1.75","-1.14","-0.75","17","2","1.04","0.96","2.78","1.41","1.10"
"","Jackson Yueill","SJE","2022","DM","2924","20","6","4","1.52","0.85","2.48","23","1","1.26","-0.26","2.78","3.11","1.14"
"","César Araujo","ORL","2023","DM","2935","21","6","1","1.28","-0.30","-0.28","19","2","1.49","0.51","2.78","0.50","0.70"
"","Gastón Giménez","CHI","2023","DM","2440","26","4","1","1.47","-0.61","-0.47","16","1","1.31","-0.31","2.78","0.62","0.75"
"","Chase Gasper","MIN","2021","FB","2877","21","2","1","1.24","-0.57","-0.24","20","0","1.53","-1.53","2.77","1.14","0.91"
"","Timothy Tillman","LAFC","2023","CM","1729","24","9","4","1.67","0.10","2.33","20","1","1.10","-0.10","2.77","0.99","0.80"
"","Donovan Pines","DCU","2023","CB","2082","12","5","3","2.39","-0.02","0.61","5","0","0.37","-0.37","2.77","1.20","1.63"
"","Bryan Oviedo","RSL","2023","FB","1890","12","7","0","0.49","0.11","-0.49","24","3","2.28","0.72","2.77","0.00","0.25"
"","Ismael Koné","MTL","2022","CM","1750","24","6","2","1.19","-0.48","0.81","14","3","1.57","1.43","2.76","0.87","0.66"
"","Caleb Wiley","ATL","2022","FB","1631","8","3","1","1.43","-0.59","-0.43","18","1","1.33","-0.33","2.76","0.01","0.37"
"","Griffin Dorsey","HOU","2023","FB","1073","9","3","1","0.36","0.24","0.64","13","2","2.39","-0.39","2.76","0.25","0.15"
"","Indiana Vassilev","MIA","2022","W","1183","19","12","2","2.03","0.49","-0.03","9","0","0.71","-0.71","2.75","1.81","1.87"
"","Nicolás Stefanelli","MIA","2023","W","1471","26","8","2","2.06","0.78","-0.06","15","0","0.68","-0.68","2.75","2.15","1.38"
"","Zachary Brault-Guillard","MTL","2022","FB","731","6","4","4","1.24","0.16","2.76","14","2","1.50","0.50","2.74","2.89","0.85"
"","Marco Farfan","FCD","2022","FB","2975","8","5","1","0.45","0.27","0.55","17","3","2.29","0.71","2.74","0.34","0.30"
"","Jacob Shaffelburg","TOR, NSH","2022","FB","1251","24","7","2","2.00","-0.03","-0.00","7","1","0.73","0.27","2.73","0.35","1.25"
"","Tyler Wolff","ATL","2023","W","732","11","8","5","2.31","1.20","2.69","5","1","0.42","0.58","2.73","2.36","0.47"
"","Julio Cascante","ATX","2023","CB","2196","26","7","2","2.32","-0.17","-0.32","4","1","0.40","0.60","2.73","1.02","1.95"
"","Daniel Aguirre","LAG","2023","W","707","14","5","1","2.09","-0.52","-1.09","10","1","0.64","0.36","2.73","1.73","1.61"
"","Sam Surridge","NSH","2023","ST","464","12","5","2","2.01","-0.30","-0.01","8","0","0.71","-0.71","2.71","0.51","1.27"
"","Saba Lobzhanidze","ATL","2023","W","437","10","7","3","1.44","0.95","1.56","7","3","1.27","1.73","2.71","0.82","0.23"
"","Alex Roldan","SEA","2021","FB","2484","8","2","1","0.37","-0.24","0.63","22","3","2.34","0.66","2.71","0.46","0.23"
"","Steve Birnbaum","DCU","2022","CB","3162","23","6","2","1.52","1.04","0.48","8","0","1.19","-1.19","2.71","1.25","0.93"
"","Darlington Nagbe","CLB","2023","CM","3009","17","6","2","1.91","-0.74","0.09","17","1","0.80","0.20","2.71","0.84","0.82"
"","Diego Palacios","LAFC","2021","FB","1936","19","5","0","0.68","-0.42","-0.68","26","2","2.02","-0.02","2.70","0.00","0.46"
"","Jack McGlynn","PHI","2023","CM","1776","26","5","2","1.01","-0.07","0.99","20","1","1.69","-0.69","2.69","1.13","0.62"
"","Justen Glad","RSL","2022","CB","2525","18","8","3","2.37","0.41","0.63","3","0","0.31","-0.31","2.68","2.88","2.88"
"","Allan Cruz","CIN","2021","CM","1789","29","5","1","2.24","-1.23","-1.24","8","0","0.44","-0.44","2.68","0.52","1.65"
"","Anderson Julio","RSL","2022","ST","619","20","10","3","2.23","0.73","0.77","7","1","0.44","0.56","2.67","2.31","1.57"
"","Jan Gregus","SJE","2022","DM","1842","21","9","0","0.68","0.70","-0.68","24","4","2.00","2.00","2.67","0.00","0.47"
"","Sean Nealis","NYRB","2022","CB","3276","21","5","0","1.76","-0.58","-1.76","5","0","0.91","-0.91","2.67","0.00","1.06"
"","Luis Díaz","CLB","2021","W","1081","21","6","1","1.97","-0.92","-0.97","8","0","0.68","-0.68","2.66","0.61","1.20"
"","Héctor Jiménez","ATX","2021","FB","1777","9","4","1","0.55","0.31","0.45","23","1","2.11","-1.11","2.65","0.00","0.13"
"","Wil Trapp","MIN","2023","DM","2543","23","3","0","0.61","-0.52","-0.61","20","0","2.04","-2.04","2.65","0.00","0.53"
"","Alessandro Schöpf","VAN","2023","CM","1890","19","7","1","1.93","0.45","-0.93","14","0","0.72","-0.72","2.64","0.45","1.06"
"","Teenage Hadebe","HOU","2022","CB","2013","17","3","2","1.76","-0.22","0.24","4","0","0.88","-0.88","2.64","2.32","1.84"
"","Keaton Parks","NYC","2022","DM","1187","21","11","2","1.57","0.36","0.43","13","0","1.07","-1.07","2.64","0.41","0.72"
"","Giacomo Vrioni","NER","2022","ST","279","10","4","1","2.64","-0.54","-1.64","0","0","0.00","0.00","2.64","0.56","2.14"
"","Justen Glad","RSL","2023","CB","2908","15","7","5","2.45","1.09","2.55","4","0","0.18","-0.18","2.63","4.61","2.11"
