,Date,Home_team_ID,HG,Away_team_ID,AG
439,2023-03-11,SJE2023,1,COL2023,0
440,2023-03-11,POR2023,1,STL2023,2
441,2023-03-11,RSL2023,1,ATX2023,2
442,2023-03-11,MIN2023,1,NYRB2023,1
443,2023-03-11,NSH2023,2,MTL2023,0
444,2023-03-11,SKC2023,0,LAG2023,0
445,2023-03-11,TOR2023,1,CLB2023,1
446,2023-03-11,DCU2023,1,ORL2023,1
447,2023-03-11,NYC2023,0,MIA2023,0
448,2023-03-11,PHI2023,1,CHI2023,0
449,2023-03-11,CIN2023,1,SEA2023,0
450,2023-03-11,VAN2023,0,FCD2023,1
451,2023-03-11,CLT2023,0,ATL2023,3
452,2023-03-04,SEA2023,2,RSL2023,0
453,2023-03-04,SJE2023,2,VAN2023,1
454,2023-03-04,COL2023,0,SKC2023,0
455,2023-03-04,ATX2023,1,MTL2023,0
456,2023-03-04,FCD2023,3,LAG2023,1
457,2023-03-04,CHI2023,1,NYC2023,1
458,2023-03-04,STL2023,2,CLT2023,1
459,2023-03-04,MIA2023,2,PHI2023,0
460,2023-03-04,ORL2023,0,CIN2023,0
461,2023-03-04,NYRB2023,0,NSH2023,0
462,2023-03-04,ATL2023,1,TOR2023,1
463,2023-03-04,CLB2023,2,DCU2023,0
464,2023-03-04,NER2023,3,HOU2023,0
465,2023-03-04,LAFC2023,3,POR2023,2
466,2023-02-27,POR2023,1,SKC2023,0
467,2023-02-26,SEA2023,4,COL2023,0
468,2023-02-25,VAN2023,1,RSL2023,2
469,2023-02-25,ATX2023,2,STL2023,3
470,2023-02-25,FCD2023,0,MIN2023,1
471,2023-02-25,CIN2023,2,HOU2023,1
472,2023-02-25,ORL2023,1,NYRB2023,0
473,2023-02-25,CLT2023,0,NER2023,1
474,2023-02-25,DCU2023,3,TOR2023,2
475,2023-02-25,PHI2023,4,CLB2023,0
476,2023-02-25,ATL2023,2,SJE2023,1
477,2023-02-25,MIA2023,2,MTL2023,0
478,2023-02-25,NSH2023,2,NYC2023,0
479,2022-10-09,ATX2022,1,COL2022,1
480,2022-10-09,HOU2022,1,LAG2022,3
481,2022-10-09,MIN2022,2,VAN2022,0
482,2022-10-09,SEA2022,2,SJE2022,2
483,2022-10-09,FCD2022,2,SKC2022,1
484,2022-10-09,RSL2022,3,POR2022,1
485,2022-10-09,LAFC2022,0,NSH2022,1
486,2022-10-09,ATL2022,1,NYC2022,2
487,2022-10-09,MIA2022,0,MTL2022,3
488,2022-10-09,NYRB2022,2,CLT2022,0
489,2022-10-09,PHI2022,4,TOR2022,0
490,2022-10-09,CHI2022,1,NER2022,1
491,2022-10-09,ORL2022,2,CLB2022,1
492,2022-10-09,DCU2022,2,CIN2022,5
493,2022-10-05,MIA2022,4,ORL2022,1
494,2022-10-05,CLT2022,2,CLB2022,2
495,2022-10-02,NSH2022,1,HOU2022,2
496,2022-10-02,SKC2022,1,SEA2022,0
497,2022-10-02,POR2022,1,LAFC2022,2
498,2022-10-02,NYC2022,2,ORL2022,1
499,2022-10-01,LAG2022,1,RSL2022,1
500,2022-10-01,VAN2022,2,ATX2022,0
501,2022-10-01,SJE2022,2,MIN2022,0
502,2022-10-01,CLB2022,2,NYRB2022,1
503,2022-10-01,MTL2022,0,DCU2022,0
504,2022-10-01,CIN2022,2,CHI2022,3
505,2022-10-01,CLT2022,4,PHI2022,0
506,2022-10-01,COL2022,1,FCD2022,0
507,2022-10-01,NER2022,2,ATL2022,1
508,2022-09-30,TOR2022,0,MIA2022,1
509,2022-09-27,SEA2022,1,CIN2022,1
510,2022-09-24,SJE2022,2,LAG2022,3
511,2022-09-18,LAFC2022,3,HOU2022,1
512,2022-09-18,DCU2022,2,MIA2022,3
513,2022-09-18,CLB2022,1,POR2022,1
514,2022-09-17,SJE2022,1,FCD2022,1
515,2022-09-17,LAG2022,4,COL2022,1
516,2022-09-17,VAN2022,2,SEA2022,1
517,2022-09-17,RSL2022,1,CIN2022,2
518,2022-09-17,ATX2022,1,NSH2022,1
519,2022-09-17,SKC2022,3,MIN2022,1
520,2022-09-17,CHI2022,2,CLT2022,3
521,2022-09-17,ORL2022,3,TOR2022,0
522,2022-09-17,NER2022,0,MTL2022,1
