,Player_ID,Passes,Distance,Vertical,Score,Season
1837,Edwin-Mosquera-2023-1,168,16.56,-0.38,-7.85,2023
1838,Daniel-Lovitz-2021-1,1392,23.18,7.17,-7.9,2021
1839,Ralph-Priso-Mbongue-2021-1,322,16.65,4.09,-7.98,2021
1840,Memo-Rodríguez-2021-1,646,20.25,3.29,-8.0,2021
1841,Calvin-Harris-2023-1,198,17.71,-2.41,-8.01,2023
1842,Adam-Lundkvist-2023-1,434,20.6,1.22,-8.01,2023
1843,Caden-Clark-2021-1,465,17.65,5.35,-8.02,2021
1844,Anderson-Julio-2021-1,210,18.25,-1.1,-8.02,2021
1845,Gabriel-Pereira-2022-1,477,17.81,0.63,-8.03,2022
1846,Sebastien-Ibeagha-2022-1,573,21.88,7.48,-8.04,2022
1847,Gregore-2023-1,178,19.95,4.03,-8.07,2023
1848,Edison-Flores-2022-1,237,15.41,2.38,-8.08,2022
1849,Deandre-Kerr-2023-1,223,14.1,-3.12,-8.09,2023
1850,Xherdan-Shaqiri-2023-1,1028,20.44,5.69,-8.1,2023
1851,David-Bingham-2022-1,71,50.47,42.61,-8.1,2022
1852,Robert-Castellanos-2023-1,443,25.8,7.68,-8.11,2023
1853,Nicolás-Lodeiro-2023-1,1719,18.69,3.68,-8.11,2023
1854,Sergio-Santos-2022-1,217,14.93,1.33,-8.14,2022
1855,Bode-Davis-2023-1,708,19.43,2.3,-8.14,2023
1856,Tomas-Ostrak-2023-1,367,17.25,2.09,-8.17,2023
1857,Sega-Coulibaly-2021-1,984,23.02,6.24,-8.22,2021
1858,Drew-Skundrich-2022-1,413,19.5,3.61,-8.22,2022
1859,Sebastien-Ibeagha-2021-1,461,20.37,8.37,-8.24,2021
1860,Franco-Fragapane-2022-1,933,16.14,2.18,-8.32,2022
1861,Christian-Makoun-2022-1,730,22.89,5.49,-8.32,2022
1862,Bernard-Kamungo-2023-1,110,17.88,-1.83,-8.35,2023
1863,Andrés-Ríos-2021-1,316,20.15,3.74,-8.36,2021
