,Player_ID,Season,Base Salary,Guaranteed Compensation
241,Aké-Arnaud-Loba-2022-1,2022,1250000.00,1491475.00
243,Jamiro-Monteiro-2021-1,2021,1300000.00,1476250.00
245,Jairo-Torres-2023-1,2023,1100004.00,1469337.00
246,Matt-Miazga-2022-1,2022,1464000.00,1464000.00
247,Lucas-Cavallini-2022-1,2022,1200000.00,1462500.00
249,Dante-Vanzeir-2023-1,2023,1320000.00,1459767.00
250,Cristian-Roldan-2023-1,2023,1320000.00,1441000.00
251,Kevin-Cabral-2021-1,2021,1440000.00,1440000.00
253,Miles-Robinson-2023-1,2023,1400000.00,1437500.00
255,Gastón-Brugman-2022-1,2022,1200000.00,1409000.00
256,Gastón-Brugman-2023-1,2023,1200000.00,1409000.00
257,Alan-Velasco-2023-1,2023,1200000.00,1401000.00
258,Gyasi-Zardes-2021-1,2021,1350000.00,1400000.00
260,Jonathan-Osorio-2023-1,2023,1400000.00,1400000.00
262,João-Paulo-2023-1,2023,1300000.00,1383333.00
263,Lewis-Morgan-2023-1,2023,1200000.00,1375000.00
264,Klauss-2023-1,2023,1230000.00,1370284.00
265,Jordan-Morris-2022-1,2022,1250000.00,1370100.00
267,Kellyn-Acosta-2023-1,2023,1250000.00,1365000.00
268,Lucas-Cavallini-2021-1,2021,1100000.00,1362500.00
270,Daniel-Gazdag-2023-1,2023,1200000.00,1355000.00
271,Darwin-Quintero-2021-1,2021,1352055.00,1352055.00
273,Damir-Kreilach-2021-1,2021,1200000.00,1350000.00
275,Mauricio-Pereyra-2022-1,2022,1100000.00,1348000.00
277,Eduard-Löwen-2023-1,2023,1200000.00,1344250.00
278,Rafael-Czichos-2022-1,2022,1300000.00,1336667.00
280,Rafael-Czichos-2023-1,2023,1300000.00,1336667.00
281,Santiago-Rodríguez-2023-1,2023,1200000.00,1331333.00
282,Aké-Arnaud-Loba-2021-1,2021,1077000.00,1318475.00
283,Erik-Thommy-2022-1,2022,1200000.00,1306250.00
284,Alan-Velasco-2022-1,2022,1100000.00,1305000.00
287,Maximiliano-Morález-2022-1,2022,670000.00,1300000.00
289,Jamiro-Monteiro-2022-1,2022,1200000.00,1293500.00
291,Jamiro-Monteiro-2023-1,2023,1200000.00,1293500.00
292,Andreas-Maxsø-2023-1,2023,1100000.00,1292500.00
293,Obinna-Nwobodo-2023-1,2023,1155000.00,1289400.00
294,Teenage-Hadebe-2023-1,2023,1122900.00,1288077.00
295,João-Paulo-2022-1,2022,1200000.00,1283333.00
297,Eduard-Atuesta-2021-1,2021,550000.00,1278000.00
298,Richie-Laryea-2022-1,2022,1170402.00,1276745.00
300,Younes-Namli-2021-1,2021,850000.00,1271000.00
302,Maximiliano-Urruti-2021-1,2021,1136127.00,1270146.00
304,Jordan-Morris-2021-1,2021,1150000.00,1270100.00
307,Cristian-Espinoza-2021-1,2021,1150000.00,1265000.00
309,Cristian-Espinoza-2022-1,2022,1150000.00,1265000.00
311,Cristian-Espinoza-2023-1,2023,1150000.00,1265000.00
312,Everton-Luiz-2021-1,2021,1160000.00,1260000.00
314,Allan-Cruz-2022-1,2022,1140000.00,1254000.00
316,Aaron-Long-2023-1,2023,1199772.00,1243056.00
319,Jesús-Jiménez-2023-1,2023,1100000.00,1219927.00
320,Jairo-Torres-2022-1,2022,849996.00,1219329.00
321,Kamil-Jozwiak-2023-1,2023,1100000.00,1217000.00
322,Kellyn-Acosta-2022-1,2022,1100000.00,1215000.00
324,Kacper-Przybylko-2022-1,2022,1100004.00,1212504.00
326,Kacper-Przybylko-2023-1,2023,1100004.00,1212504.00
327,Aljaz-Struna-2021-1,2021,1100000.00,1210000.00
329,Ilie-Sánchez-2023-1,2023,1207500.00,1207500.00
330,Yuya-Kubo-2021-1,2021,1091000.00,1206750.00
332,Yuya-Kubo-2022-1,2022,1091000.00,1206750.00
334,Yuya-Kubo-2023-1,2023,1091000.00,1206750.00
335,Luquinhas-2023-1,2023,1155000.00,1206042.00
336,Tim-Parker-2021-1,2021,1161800.00,1199300.00
337,Talles-Magno-2021-1,2021,950000.00,1198000.00
338,Talles-Magno-2022-1,2022,950000.00,1198000.00
340,Talles-Magno-2023-1,2023,950000.00,1198000.00
341,Teenage-Hadebe-2022-1,2022,1014000.00,1179177.00
344,Luquinhas-2022-1,2022,1050000.00,1173125.00
346,Jesús-Medina-2021-1,2021,1050000.00,1170833.00
348,Jonathan-Mensah-2023-1,2023,1025000.00,1165667.00
349,Joakim-Nilsson-2023-1,2023,1102450.00,1158450.00
351,Ilie-Sánchez-2022-1,2022,1150000.00,1150000.00
355,Brian-Rodríguez-2022-1,2022,805000.00,1144800.00
356,Enzo-Copetti-2023-1,2023,1000000.00,1142250.00
357,Jonathan-Mensah-2021-1,2021,1000000.00,1140667.00
359,Jonathan-Mensah-2022-1,2022,1000000.00,1140667.00
361,Patryk-Klimala-2021-1,2021,1000000.00,1135000.00
363,Patryk-Klimala-2022-1,2022,1000000.00,1135000.00
365,Allan-Cruz-2021-1,2021,1020000.00,1134000.00
367,Paul-Arriola-2022-1,2022,1100000.00,1130000.00
369,Teenage-Hadebe-2021-1,2021,960000.00,1125177.00
370,Andreu-Fontàs-2021-1,2021,1125000.00,1125000.00
372,Andreu-Fontàs-2022-1,2022,1125000.00,1125000.00
374,Matías-Pellegrini-2023-1,2023,1025000.00,1120833.00
375,Rándall-Leal-2023-1,2023,1000000.00,1115000.00
376,Kellyn-Acosta-2021-1,2021,1000000.00,1115000.00
378,Alejandro-Bedoya-2022-1,2022,900000.00,1110000.00
380,Adam-Buksa-2021-1,2021,1000000.00,1106250.00
382,Adam-Buksa-2022-1,2022,1000000.00,1106250.00
387,Dániel-Sallói-2023-1,2023,1100000.00,1100000.00
389,Alexander-Ring-2021-1,2021,1000000.00,1095000.00
391,Aaron-Long-2022-1,2022,1050000.00,1080000.00
393,Taty-Castellanos-2022-1,2022,900000.00,1076000.00
395,Giorgio-Chiellini-2022-1,2022,1000000.00,1075000.00
396,Giorgio-Chiellini-2023-1,2023,1000000.00,1075000.00
397,Emanuel-Reynoso-2022-1,2022,850000.00,1066910.00
399,Sebastian-Lletget-2023-1,2023,975000.00,1066250.00
400,Alejandro-Bedoya-2023-1,2023,780000.00,1060000.00
402,James-Sands-2023-1,2023,1000000.00,1058333.00
403,Omar-González-2021-1,2021,780000.00,1055936.00
