,Player_ID,Season,Player,TeamID,Minutes,Shots Faced,Goals Conceded,Saves
27,Stefan-Cleveland-2022-1,2022,Stefan-Cleveland,SEA2022,679,37,8,28
28,Drake-Callender-2022-1,2022,Drake-Callender,MIA2022,2392,116,36,78
29,Clément-Diop-2021-1,2021,Clément-Diop,MTL2021,799,32,9,23
30,Steve-Clark-2022-1,2022,Steve-Clark,HOU2022,3237,153,46,104
31,Kristijan-Kahlina-2023-1,2023,Kristijan-Kahlina,CLT2023,2329,108,32,75
32,Maarten-Paes-2023-1,2023,Maarten-Paes,FCD2023,2815,116,24,90
33,Jacob-Jackson-2023-1,2023,Jacob-Jackson,NER2023,99,10,3,7
34,Gabriel-Slonina-2021-1,2021,Gabriel-Slonina,CHI2021,1062,60,15,45
35,Chris-Brady-2022-1,2022,Chris-Brady,CHI2022,95,5,1,4
36,James-Pantemis-2022-1,2022,James-Pantemis,MTL2022,1104,38,11,26
37,Pedro-Gallese-2021-1,2021,Pedro-Gallese,ORL2021,2200,99,29,67
38,Isaac-Boehmer-2022-1,2022,Isaac-Boehmer,VAN2022,245,12,4,8
39,Luka-Gavran-2023-1,2023,Luka-Gavran,TOR2023,398,32,12,20
40,Brad-Stuver-2021-1,2021,Brad-Stuver,ATX2021,3277,191,52,136
41,Joe-Bendik-2021-1,2021,Joe-Bendik,PHI2021,238,8,3,5
42,Max-Anchor-2022-1,2022,Max-Anchor,VAN2022,101,6,2,4
43,George-Marks-2023-1,2023,George-Marks,CLT2023,712,41,12,29
44,Alex-Bono-2022-1,2022,Alex-Bono,TOR2022,2449,126,41,84
45,Matt-Bersano-2022-1,2022,Matt-Bersano,SJE2022,151,10,3,6
46,Spencer-Richey-2021-1,2021,Spencer-Richey,SEA2021,196,5,0,5
47,William-Yarbrough-2021-1,2021,William-Yarbrough,COL2021,3271,142,31,106
48,John-McCarthy-2022-1,2022,John-McCarthy,LAFC2022,101,6,2,4
49,Stefan-Frei-2021-1,2021,Stefan-Frei,SEA2021,1661,62,15,44
50,Mason-Stajduhar-2022-1,2022,Mason-Stajduhar,ORL2022,195,14,5,9
51,Alex-Roldan-2021-1,2021,Alex-Roldan,SEA2021,5,1,0,1
52,Elliot-Panicco-2023-1,2023,Elliot-Panicco,NSH2023,198,9,1,8
53,Spencer-Richey-2022-1,2022,Spencer-Richey,CHI2022,103,4,2,2
54,Andrew-Tarbell-2023-1,2023,Andrew-Tarbell,HOU2023,100,4,0,4
55,Jeff-Attinella-2021-1,2021,Jeff-Attinella,POR2021,185,5,1,4
56,Thomas-Hasal-2023-1,2023,Thomas-Hasal,VAN2023,101,7,2,5
57,Tim-Melia-2021-1,2021,Tim-Melia,SKC2021,2777,100,33,67
58,Matt-Freese-2023-1,2023,Matt-Freese,NYC2023,906,33,8,25
59,Justin-Rasmussen-2023-1,2023,Justin-Rasmussen,POR2023,1,0,0,0
60,Gabriel-Slonina-2022-1,2022,Gabriel-Slonina,CHI2022,3181,126,44,80
61,Aljaz-Ivacic-2021-1,2021,Aljaz-Ivacic,POR2021,464,32,12,20
